itemid,hudoc_url,judgementdate,chrono_date,judgment_year,split,test_view,test_challenging_view,respondent_state,country_alpha2,hudoc_decision_body,court_formation,is_grand_chamber,case_importance,has_separate_opinion,represented,num_applicants,num_violations_found,has_mixed_outcome,violated_articles,violated_articles_count,violation_type,app_sex_male_ratio,app_sex_female_ratio,app_sex_unknown_ratio,app_age_child_ratio,app_age_adolescent_ratio,app_age_adult_ratio,app_age_elderly_ratio,app_age_unknown_ratio,app_birth_year_median,app_unique_nationality_count,app_multi_nationality_flag,perapp_unique_beneficiary_category_count,perapp_has_joint_beneficiary_category_flag,rl_violation_type_procedural_ratio,rl_violation_type_both_ratio,rl_violation_duration_months,rl_violation_duration_months_missing_ratio,gdp_per_capita_current_usd,gdp_constant_2015_usd,gdp_per_capita_log1p,gdp_constant_2015_log1p,y_amount_eur,y_binary
001-57554,https://hudoc.echr.coe.int/eng?i=001-57554,25/04/1983 00:00:00,1983-04-25,1983,train,,False,Germany,de,CHAMBER,Chamber,False,2,False,False,1,1,False,6,1,procedural,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1937.0,1,0,1,0,1.0,0.0,0.0,1.0,9900.48559234,1910188039690.0,9.2004400847,28.2782228032,0.0,0
001-57609,https://hudoc.echr.coe.int/eng?i=001-57609,13/07/1983 00:00:00,1983-07-13,1983,train,,False,Switzerland,ch,CHAMBER,Chamber,False,2,False,False,2,1,False,6,1,substantive,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,1920.5,1,0,0,0,0.0,0.0,42.0,0.0,17859.2323696,381164080265.0,9.79033186496,26.6664957762,0.0,0
001-72567,https://hudoc.echr.coe.int/eng?i=001-72567,23/02/1984 00:00:00,1984-02-23,1984,train,,False,Italy,it,CHAMBER,Chamber,False,2,False,False,1,1,True,5,1,procedural,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1924.0,1,0,1,0,1.0,0.0,18.3,0.0,7757.55374837,1307081253660.0,8.95655122317,27.8988177167,0.0,0
001-57456,https://hudoc.echr.coe.int/eng?i=001-57456,28/06/1984 00:00:00,1984-06-28,1984,train,,False,United Kingdom,gb,CHAMBER,Chamber,False,2,True,False,2,5,False,6;8;13,3,substantive,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1942.0,1,0,0,0,0.0,0.0,24.0,0.0,8179.19444065,1411242824000.0,9.00947119956,27.9754918675,0.0,0
001-57497,https://hudoc.echr.coe.int/eng?i=001-57497,10/07/1984 00:00:00,1984-07-10,1984,train,,False,Portugal,pt,CHAMBER,Chamber,False,2,False,False,1,1,False,6,1,substantive,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1949.0,1,0,1,0,0.0,0.0,46.6,0.0,2522.74747621,107550590438.0,7.83350016961,25.4012271826,0.0,0
001-57533,https://hudoc.echr.coe.int/eng?i=001-57533,02/08/1984 00:00:00,1984-08-02,1984,train,,False,United Kingdom,gb,CHAMBER,Chamber,False,2,True,False,1,1,False,8,1,substantive,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1937.0,1,0,0,0,0.0,0.0,0.0,1.0,8179.19444065,1411242824000.0,9.00947119956,27.9754918675,0.0,0
001-57581,https://hudoc.echr.coe.int/eng?i=001-57581,22/10/1984 00:00:00,1984-10-22,1984,train,,False,Austria,at,CHAMBER,Chamber,False,2,True,False,1,1,False,6,1,substantive,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,8955.84829192,201077788420.0,9.10017369095,26.0269576772,0.0,0
001-57538,https://hudoc.echr.coe.int/eng?i=001-57538,26/10/1984 00:00:00,1984-10-26,1984,train,,False,Sweden,se,CHAMBER,Chamber,False,2,False,False,1,1,True,5,1,procedural,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1950.0,1,0,1,0,1.0,0.0,0.5,0.0,13080.030229,259729005210.0,9.4789183856,26.2829046368,0.0,0
001-57416,https://hudoc.echr.coe.int/eng?i=001-57416,28/05/1985 00:00:00,1985-05-28,1985,train,,False,United Kingdom,gb,CHAMBER,Chamber,False,2,True,False,3,3,False,8;14;13,3,substantive,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1946.0,3,1,0,0,0.0,0.0,0.0,1.0,8652.21654248,1462038836260.0,9.06568638543,28.0108530407,0.0,0
001-57436,https://hudoc.echr.coe.int/eng?i=001-57436,23/10/1985 00:00:00,1985-10-23,1985,train,,False,Netherlands,nl,CHAMBER,Chamber,False,2,True,False,1,1,False,6,1,procedural,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1927.0,1,0,0,0,1.0,0.0,0.0,1.0,9940.73843594,397037952227.0,9.20449717731,26.7072977106,0.0,0
001-57468,https://hudoc.echr.coe.int/eng?i=001-57468,29/05/1986 00:00:00,1986-05-29,1986,train,,False,Germany,de,CHAMBER,Chamber,False,2,True,False,1,1,False,6,1,procedural,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1940.0,1,0,0,0,1.0,0.0,0.0,1.0,13511.1520027,2055806640790.0,9.51134470789,28.3516894128,0.0,0
001-57523,https://hudoc.echr.coe.int/eng?i=001-57523,08/07/1986 00:00:00,1986-07-08,1986,train,,False,Austria,at,CHAMBER,Chamber,False,2,True,False,1,1,False,10,1,substantive,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1931.0,1,0,1,0,0.0,0.0,0.0,1.0,13031.8281011,210845294932.0,9.47522669193,26.0743905021,0.0,0
001-57571,https://hudoc.echr.coe.int/eng?i=001-57571,21/10/1986 00:00:00,1986-10-21,1986,train,,False,Switzerland,ch,CHAMBER,Chamber,False,2,True,True,1,1,False,5,1,procedural,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1946.0,1,0,1,0,1.0,0.0,0.0833333333333333,0.0,24459.8536348,414620577536.0,10.1048293078,26.750629668,0.0,0
001-57508,https://hudoc.echr.coe.int/eng?i=001-57508,18/12/1986 00:00:00,1986-12-18,1986,train,,False,Ireland,ie,CHAMBER,Chamber,False,2,True,False,3,1,True,8,1,substantive,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,1938.0,2,1,0,0,0.0,0.0,0.0,1.0,8112.17136316,65215568204.5,9.00124411422,24.9009640535,0.0,0
001-57441,https://hudoc.echr.coe.int/eng?i=001-57441,27/10/1987 00:00:00,1987-10-27,1987,train,,False,Sweden,se,CHAMBER,Chamber,False,3,True,False,1,1,False,6,1,procedural,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1939.0,1,0,1,0,1.0,0.0,0.0,1.0,21760.9646491,281619877046.0,9.98791898408,26.3638240448,0.0,0
001-57505,https://hudoc.echr.coe.int/eng?i=001-57505,28/10/1987 00:00:00,1987-10-28,1987,train,,False,Austria,at,CHAMBER,Chamber,False,2,False,False,1,2,False,P1-1;14,2,substantive,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1942.0,1,0,1,0,0.0,0.0,0.0,1.0,16328.5613047,213706819793.0,9.70073232123,26.0878709117,0.0,0
001-57490,https://hudoc.echr.coe.int/eng?i=001-57490,18/12/1987 00:00:00,1987-12-18,1987,train,,False,Switzerland,ch,CHAMBER,Chamber,False,2,True,False,1,1,False,12,1,substantive,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1943.0,1,0,1,0,0.0,0.0,0.0,1.0,30440.510824,421194295501.0,10.3235624436,26.7663600737,0.0,0
001-57446,https://hudoc.echr.coe.int/eng?i=001-57446,27/04/1988 00:00:00,1988-04-27,1988,train,,False,United Kingdom,gb,CHAMBER,Chamber,False,2,True,False,2,1,True,8,1,substantive,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1945.5,1,0,1,0,0.0,0.0,0.0,1.0,15987.1680776,1670090505990.0,9.67960423251,28.1438989361,0.0,0
001-57477,https://hudoc.echr.coe.int/eng?i=001-57477,26/05/1988 00:00:00,1988-05-26,1988,train,,False,Sweden,se,CHAMBER,Chamber,False,2,True,False,1,1,False,6,1,procedural,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1930.0,0,0,1,0,1.0,0.0,0.0,1.0,24499.1240759,288826638634.0,10.1064334608,26.3890924788,0.0,0
001-57555,https://hudoc.echr.coe.int/eng?i=001-57555,26/05/1988 00:00:00,1988-05-26,1988,train,,False,Belgium,be,CHAMBER,Chamber,False,2,False,False,1,1,False,5,1,substantive,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1931.0,1,0,1,0,0.0,0.0,3.13,0.0,16391.0938278,276558286707.0,9.7045544139,26.3456874375,0.0,0
001-57575,https://hudoc.echr.coe.int/eng?i=001-57575,20/06/1988 00:00:00,1988-06-20,1988,train,,False,Switzerland,ch,CHAMBER,Chamber,False,2,False,False,2,1,False,8,1,substantive,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1946.0,2,1,2,0,0.0,0.0,0.0,1.0,32690.4302735,434999344090.0,10.3948682514,26.7986103602,0.0,0
001-57547,https://hudoc.echr.coe.int/eng?i=001-57547,26/10/1988 00:00:00,1988-10-26,1988,train,,False,Ireland,ie,CHAMBER,Chamber,False,3,True,False,1,1,False,8,1,substantive,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1944.0,1,0,1,0,0.0,0.0,0.0,1.0,10715.8702781,71817859762.7,9.27957444032,24.9973990253,0.0,0
001-57460,https://hudoc.echr.coe.int/eng?i=001-57460,22/02/1989 00:00:00,1989-02-22,1989,train,,False,Italy,it,CHAMBER,Chamber,False,2,True,False,1,2,False,5,1,substantive,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1950.0,1,0,0,0,0.0,0.0,0.5333333333333333,0.0,16424.4301587,1536370314480.0,9.70658603228,28.0604438118,0.0,0
001-57514,https://hudoc.echr.coe.int/eng?i=001-57514,30/03/1989 00:00:00,1989-03-30,1989,train,,False,Belgium,be,CHAMBER,Chamber,False,2,False,False,1,1,True,5,1,procedural,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1932.0,1,0,1,0,1.0,0.0,0.0,1.0,16525.0617433,286152555458.0,9.71269391338,26.3797909163,0.0,0
001-57500,https://hudoc.echr.coe.int/eng?i=001-57500,24/05/1989 00:00:00,1989-05-24,1989,train,,False,Denmark,dk,CHAMBER,Chamber,False,2,True,False,1,1,False,6,1,procedural,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1941.0,1,0,1,0,1.0,0.0,0.0,1.0,21882.1517464,198773654972.0,9.99347229307,26.0154326021,0.0,0
001-57515,https://hudoc.echr.coe.int/eng?i=001-57515,22/06/1989 00:00:00,1989-06-22,1989,train,,False,Sweden,se,CHAMBER,Chamber,False,2,True,False,1,1,True,6,1,procedural,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1922.0,1,0,1,0,1.0,0.0,0.0,1.0,25625.0162128,296494428193.0,10.1513633727,26.4152942633,0.0,0
001-57586,https://hudoc.echr.coe.int/eng?i=001-57586,07/07/1989 00:00:00,1989-07-07,1989,train,,False,Sweden,se,CHAMBER,Chamber,False,2,True,False,1,1,False,6,1,substantive,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,25625.0162128,296494428193.0,10.1513633727,26.4152942633,0.0,0
001-57611,https://hudoc.echr.coe.int/eng?i=001-57611,07/07/1989 00:00:00,1989-07-07,1989,train,,False,Belgium,be,CHAMBER,Chamber,False,2,True,False,2,1,False,6,1,procedural,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1919.0,1,0,1,0,1.0,0.0,0.0,1.0,16525.0617433,286152555458.0,9.71269391338,26.3797909163,0.0,0
001-57618,https://hudoc.echr.coe.int/eng?i=001-57618,07/07/1989 00:00:00,1989-07-07,1989,train,,False,Spain,es,CHAMBER,Chamber,False,3,False,False,1,1,False,6,1,substantive,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,62.43,0.0,10674.341023,718117156374.0,9.27569178354,27.2998985631,0.0,0
001-57619,https://hudoc.echr.coe.int/eng?i=001-57619,07/07/1989 00:00:00,1989-07-07,1989,train,,False,United Kingdom,gb,CHAMBER,Chamber,False,2,True,False,1,1,True,3,1,substantive,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1966.0,1,0,1,0,0.0,0.0,96.0,0.0,16239.2821961,1708192731040.0,9.69524999017,28.1664570451,0.0,0
001-57423,https://hudoc.echr.coe.int/eng?i=001-57423,25/10/1989 00:00:00,1989-10-25,1989,train,,False,Sweden,se,CHAMBER,Chamber,False,3,False,False,1,1,True,6,1,substantive,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,25625.0162128,296494428193.0,10.1513633727,26.4152942633,0.0,0
001-57612,https://hudoc.echr.coe.int/eng?i=001-57612,19/12/1989 00:00:00,1989-12-19,1989,train,,False,Italy,it,CHAMBER,Chamber,False,2,True,False,1,2,False,6,1,procedural,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,16424.4301587,1536370314480.0,9.70658603228,28.0604438118,0.0,0
001-57614,https://hudoc.echr.coe.int/eng?i=001-57614,19/12/1989 00:00:00,1989-12-19,1989,train,,False,Austria,at,CHAMBER,Chamber,False,2,True,False,1,1,True,6,1,procedural,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,1.0,0.0,0.0,1.0,17400.522662,229331070530.0,9.76431299068,26.1584325193,0.0,0
001-57638,https://hudoc.echr.coe.int/eng?i=001-57638,21/02/1990 00:00:00,1990-02-21,1990,train,,False,Sweden,se,CHAMBER,Chamber,False,3,True,False,2,1,False,6,1,procedural,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1.0,0.0,0.0,1.0,30549.3185707,298731996823.0,10.3271303924,26.4228126767,0.0,0
001-57624,https://hudoc.echr.coe.int/eng?i=001-57624,28/03/1990 00:00:00,1990-03-28,1990,train,,False,United Kingdom,gb,CHAMBER,Chamber,False,3,False,False,1,1,False,6,1,substantive,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1960.0,1,0,1,0,0.0,0.0,0.0,1.0,19095.4669985,1721504098260.0,9.85725862302,28.1742195004,1000.0,1
001-57626,https://hudoc.echr.coe.int/eng?i=001-57626,24/04/1990 00:00:00,1990-04-24,1990,train,,False,France,fr,CHAMBER,Chamber,False,2,False,False,1,1,False,8,1,substantive,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,21586.4674617,1630899060960.0,9.97986821518,28.1201525498,0.0,0
001-57627,https://hudoc.echr.coe.int/eng?i=001-57627,24/04/1990 00:00:00,1990-04-24,1990,train,,False,France,fr,CHAMBER,Chamber,False,2,False,False,1,1,False,8,1,substantive,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0.0,0.0,0.0,1.0,21586.4674617,1630899060960.0,9.97986821518,28.1201525498,0.0,0
001-57629,https://hudoc.echr.coe.int/eng?i=001-57629,22/05/1990 00:00:00,1990-05-22,1990,train,,False,Switzerland,ch,CHAMBER,Chamber,False,2,True,False,1,2,False,6;10,2,substantive,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,39574.5398084,470515127362.0,10.5859665248,26.8770939471,0.0,0
001-57630,https://hudoc.echr.coe.int/eng?i=001-57630,22/05/1990 00:00:00,1990-05-22,1990,train,,False,Switzerland,ch,CHAMBER,Chamber,False,2,True,False,1,1,False,10,1,substantive,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,39574.5398084,470515127362.0,10.5859665248,26.8770939471,0.0,0
001-57634,https://hudoc.echr.coe.int/eng?i=001-57634,29/08/1990 00:00:00,1990-08-29,1990,train,,False,Norway,no,CHAMBER,Chamber,False,2,False,False,1,1,False,5,1,procedural,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1948.0,1,0,0,0,1.0,0.0,1.8333333333333333,0.0,28242.9814028,211808370316.0,10.2486356662,26.0789477892,0.0,0
001-57640,https://hudoc.echr.coe.int/eng?i=001-57640,30/08/1990 00:00:00,1990-08-30,1990,train,,False,United Kingdom,gb,CHAMBER,Chamber,False,2,False,False,1,1,False,8,1,substantive,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,19095.4669985,1721504098260.0,9.85725862302,28.1742195004,0.0,0
001-57635,https://hudoc.echr.coe.int/eng?i=001-57635,27/09/1990 00:00:00,1990-09-27,1990,train,,False,Netherlands,nl,CHAMBER,Chamber,False,3,True,False,1,1,True,5,1,procedural,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,21322.1944803,468115532100.0,9.96755070197,26.8719809659,0.0,0
001-57642,https://hudoc.echr.coe.int/eng?i=001-57642,23/10/1990 00:00:00,1990-10-23,1990,train,,False,Sweden,se,CHAMBER,Chamber,False,2,False,False,1,2,False,P1-1;14,2,substantive,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1926.0,1,0,1,0,0.0,0.0,0.0,1.0,30549.3185707,298731996823.0,10.3271303924,26.4228126767,0.0,0
001-57644,https://hudoc.echr.coe.int/eng?i=001-57644,23/10/1990 00:00:00,1990-10-23,1990,train,,False,Switzerland,ch,CHAMBER,Chamber,False,2,True,False,1,1,False,5,1,procedural,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,39574.5398084,470515127362.0,10.5859665248,26.8770939471,0.0,0
001-57636,https://hudoc.echr.coe.int/eng?i=001-57636,25/10/1990 00:00:00,1990-10-25,1990,train,,False,Netherlands,nl,CHAMBER,Chamber,False,3,True,False,1,1,False,5,1,procedural,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,1.0,0.0,4.0,0.0,21322.1944803,468115532100.0,9.96755070197,26.8719809659,0.0,0
001-57646,https://hudoc.echr.coe.int/eng?i=001-57646,25/10/1990 00:00:00,1990-10-25,1990,train,,False,United Kingdom,gb,CHAMBER,Chamber,False,2,True,False,3,2,False,5,1,procedural,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1930.0,1,0,2,1,1.0,0.0,0.0,1.0,19095.4669985,1721504098260.0,9.85725862302,28.1742195004,0.0,0
001-57655,https://hudoc.echr.coe.int/eng?i=001-57655,19/02/1991 00:00:00,1991-02-19,1991,train,,False,Italy,it,CHAMBER,Chamber,False,4,False,False,1,1,False,6,1,procedural,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1.0,0.0,0.0,1.0,22007.1350964,1590984785700.0,9.9991674411,28.0953743025,0.0,0
001-57675,https://hudoc.echr.coe.int/eng?i=001-57675,26/04/1991 00:00:00,1991-04-26,1991,train,,False,France,fr,CHAMBER,Chamber,False,2,True,False,1,1,False,11,1,substantive,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,21500.7778366,1651067777790.0,9.97589090077,28.1324433326,0.0,0
001-57716,https://hudoc.echr.coe.int/eng?i=001-57716,23/05/1991 00:00:00,1991-05-23,1991,train,,False,Austria,at,CHAMBER,Chamber,False,2,True,False,1,2,False,6;10,2,substantive,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,22323.1312493,247532688033.0,10.0134234912,26.2348084831,0.0,0
001-57678,https://hudoc.echr.coe.int/eng?i=001-57678,26/06/1991 00:00:00,1991-06-26,1991,train,,False,France,fr,CHAMBER,Chamber,False,2,False,False,1,1,True,5,1,substantive,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,4.0,0.0,21500.7778366,1651067777790.0,9.97589090077,28.1324433326,0.0,0
001-57682,https://hudoc.echr.coe.int/eng?i=001-57682,27/08/1991 00:00:00,1991-08-27,1991,train,,False,Malta,mt,CHAMBER,Chamber,False,2,True,False,1,1,False,6,1,substantive,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,7558.75921583,3788783235.07,8.93059461891,22.0553107586,0.0,0
001-57679,https://hudoc.echr.coe.int/eng?i=001-57679,28/08/1991 00:00:00,1991-08-28,1991,train,,False,Italy,it,CHAMBER,Chamber,False,3,False,False,1,2,False,6,1,procedural,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,1.0,0.0,0.0,1.0,22007.1350964,1590984785700.0,9.9991674411,28.0953743025,0.0,0
001-57683,https://hudoc.echr.coe.int/eng?i=001-57683,28/08/1991 00:00:00,1991-08-28,1991,train,,False,Austria,at,CHAMBER,Chamber,False,3,True,False,1,1,True,6,1,procedural,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,22323.1312493,247532688033.0,10.0134234912,26.2348084831,0.0,0
001-57720,https://hudoc.echr.coe.int/eng?i=001-57720,30/10/1991 00:00:00,1991-10-30,1991,train,,False,Belgium,be,CHAMBER,Chamber,False,2,True,False,1,1,False,6,1,substantive,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,21041.660652,300540270315.0,9.9543071157,26.428847593,0.0,0
001-57705,https://hudoc.echr.coe.int/eng?i=001-57705,26/11/1991 00:00:00,1991-11-26,1991,train,,False,United Kingdom,gb,CHAMBER,Chamber,False,2,True,False,2,1,True,10,1,substantive,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,14.0,0.0,19900.7266505,1699254695040.0,9.89856177331,28.1612108562,0.0,0
001-57708,https://hudoc.echr.coe.int/eng?i=001-57708,26/11/1991 00:00:00,1991-11-26,1991,train,,False,United Kingdom,gb,CHAMBER,Chamber,False,2,True,False,1,1,True,10,1,substantive,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0.0,0.0,14.0,0.0,19900.7266505,1699254695040.0,9.89856177331,28.1612108562,0.0,0
001-57703,https://hudoc.echr.coe.int/eng?i=001-57703,28/11/1991 00:00:00,1991-11-28,1991,train,,False,Netherlands,nl,CHAMBER,Chamber,False,3,True,False,1,1,False,5,1,procedural,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,21764.2144987,479533499921.0,9.98806830915,26.8960795931,0.0,0
