itemid,country_alpha2,hudoc_decision_body,case_importance,has_separate_opinion,represented,num_violations_found,violation_type,num_applicants,judgment_year,judgment_month,violated_articles_count,violated_article_6,violated_article_3,violated_article_5,violated_article_13,violated_article_8,violated_article_P1_1,violated_article_2,violated_article_10,violated_article_11,violated_article_14,violated_article_34,violated_article_9,violated_article_P1_3,violated_article_38,violated_article_P4_2,violated_article_7,violated_article_P7_4,violated_article_P1_2,violated_article_18,violated_article_P7_2,app_sex_male_ratio,app_sex_female_ratio,app_sex_unknown_ratio,app_age_child_ratio,app_age_adolescent_ratio,app_age_adult_ratio,app_age_elderly_ratio,app_age_unknown_ratio,app_birth_year_median,app_unique_nationality_count,app_multi_nationality_flag,perapp_unique_beneficiary_category_count,perapp_has_joint_beneficiary_category_flag,rl_violation_type_procedural_ratio,rl_violation_type_both_ratio,rl_violation_duration_months,rl_violation_duration_months_missing_ratio,gdp_per_capita_log1p,gdp_constant_2015_log1p
001-57554,de,CHAMBER,2,0,0,1,procedural,1,1983,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1937.0,1,0,1,0,1.0,0.0,0.0,1.0,9.2004400847,28.2782228032
001-57609,ch,CHAMBER,2,0,0,1,substantive,2,1983,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,1920.5,1,0,0,0,0.0,0.0,42.0,0.0,9.79033186496,26.6664957762
001-72567,it,CHAMBER,2,0,0,1,procedural,1,1984,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1924.0,1,0,1,0,1.0,0.0,18.3,0.0,8.95655122317,27.8988177167
001-57456,gb,CHAMBER,2,1,0,5,substantive,2,1984,6,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1942.0,1,0,0,0,0.0,0.0,24.0,0.0,9.00947119956,27.9754918675
001-57497,pt,CHAMBER,2,0,0,1,substantive,1,1984,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1949.0,1,0,1,0,0.0,0.0,46.6,0.0,7.83350016961,25.4012271826
001-57533,gb,CHAMBER,2,1,0,1,substantive,1,1984,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1937.0,1,0,0,0,0.0,0.0,0.0,1.0,9.00947119956,27.9754918675
001-57581,at,CHAMBER,2,1,0,1,substantive,1,1984,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,9.10017369095,26.0269576772
001-57538,se,CHAMBER,2,0,0,1,procedural,1,1984,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1950.0,1,0,1,0,1.0,0.0,0.5,0.0,9.4789183856,26.2829046368
001-57416,gb,CHAMBER,2,1,0,3,substantive,3,1985,5,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1946.0,3,1,0,0,0.0,0.0,0.0,1.0,9.06568638543,28.0108530407
001-57436,nl,CHAMBER,2,1,0,1,procedural,1,1985,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1927.0,1,0,0,0,1.0,0.0,0.0,1.0,9.20449717731,26.7072977106
001-57468,de,CHAMBER,2,1,0,1,procedural,1,1986,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1940.0,1,0,0,0,1.0,0.0,0.0,1.0,9.51134470789,28.3516894128
001-57523,at,CHAMBER,2,1,0,1,substantive,1,1986,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1931.0,1,0,1,0,0.0,0.0,0.0,1.0,9.47522669193,26.0743905021
001-57571,ch,CHAMBER,2,1,1,1,procedural,1,1986,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1946.0,1,0,1,0,1.0,0.0,0.0833333333333333,0.0,10.1048293078,26.750629668
001-57508,ie,CHAMBER,2,1,0,1,substantive,3,1986,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,1938.0,2,1,0,0,0.0,0.0,0.0,1.0,9.00124411422,24.9009640535
001-57441,se,CHAMBER,3,1,0,1,procedural,1,1987,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1939.0,1,0,1,0,1.0,0.0,0.0,1.0,9.98791898408,26.3638240448
001-57505,at,CHAMBER,2,0,0,2,substantive,1,1987,10,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1942.0,1,0,1,0,0.0,0.0,0.0,1.0,9.70073232123,26.0878709117
001-57490,ch,CHAMBER,2,1,0,1,substantive,1,1987,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1943.0,1,0,1,0,0.0,0.0,0.0,1.0,10.3235624436,26.7663600737
001-57446,gb,CHAMBER,2,1,0,1,substantive,2,1988,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1945.5,1,0,1,0,0.0,0.0,0.0,1.0,9.67960423251,28.1438989361
001-57477,se,CHAMBER,2,1,0,1,procedural,1,1988,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1930.0,0,0,1,0,1.0,0.0,0.0,1.0,10.1064334608,26.3890924788
001-57555,be,CHAMBER,2,0,0,1,substantive,1,1988,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1931.0,1,0,1,0,0.0,0.0,3.13,0.0,9.7045544139,26.3456874375
001-57575,ch,CHAMBER,2,0,0,1,substantive,2,1988,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1946.0,2,1,2,0,0.0,0.0,0.0,1.0,10.3948682514,26.7986103602
001-57547,ie,CHAMBER,3,1,0,1,substantive,1,1988,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1944.0,1,0,1,0,0.0,0.0,0.0,1.0,9.27957444032,24.9973990253
001-57460,it,CHAMBER,2,1,0,2,substantive,1,1989,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1950.0,1,0,0,0,0.0,0.0,0.5333333333333333,0.0,9.70658603228,28.0604438118
001-57514,be,CHAMBER,2,0,0,1,procedural,1,1989,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1932.0,1,0,1,0,1.0,0.0,0.0,1.0,9.71269391338,26.3797909163
001-57500,dk,CHAMBER,2,1,0,1,procedural,1,1989,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1941.0,1,0,1,0,1.0,0.0,0.0,1.0,9.99347229307,26.0154326021
001-57515,se,CHAMBER,2,1,0,1,procedural,1,1989,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1922.0,1,0,1,0,1.0,0.0,0.0,1.0,10.1513633727,26.4152942633
001-57586,se,CHAMBER,2,1,0,1,substantive,1,1989,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,10.1513633727,26.4152942633
001-57611,be,CHAMBER,2,1,0,1,procedural,2,1989,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1919.0,1,0,1,0,1.0,0.0,0.0,1.0,9.71269391338,26.3797909163
001-57618,es,CHAMBER,3,0,0,1,substantive,1,1989,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,62.43,0.0,9.27569178354,27.2998985631
001-57619,gb,CHAMBER,2,1,0,1,substantive,1,1989,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1966.0,1,0,1,0,0.0,0.0,96.0,0.0,9.69524999017,28.1664570451
001-57423,se,CHAMBER,3,0,0,1,substantive,1,1989,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,10.1513633727,26.4152942633
001-57612,it,CHAMBER,2,1,0,2,procedural,1,1989,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,9.70658603228,28.0604438118
001-57614,at,CHAMBER,2,1,0,1,procedural,1,1989,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,1.0,0.0,0.0,1.0,9.76431299068,26.1584325193
001-57638,se,CHAMBER,3,1,0,1,procedural,2,1990,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1.0,0.0,0.0,1.0,10.3271303924,26.4228126767
001-57624,gb,CHAMBER,3,0,0,1,substantive,1,1990,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1960.0,1,0,1,0,0.0,0.0,0.0,1.0,9.85725862302,28.1742195004
001-57626,fr,CHAMBER,2,0,0,1,substantive,1,1990,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,9.97986821518,28.1201525498
001-57627,fr,CHAMBER,2,0,0,1,substantive,1,1990,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0.0,0.0,0.0,1.0,9.97986821518,28.1201525498
001-57629,ch,CHAMBER,2,1,0,2,substantive,1,1990,5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,10.5859665248,26.8770939471
001-57630,ch,CHAMBER,2,1,0,1,substantive,1,1990,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,10.5859665248,26.8770939471
001-57634,no,CHAMBER,2,0,0,1,procedural,1,1990,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1948.0,1,0,0,0,1.0,0.0,1.8333333333333333,0.0,10.2486356662,26.0789477892
001-57640,gb,CHAMBER,2,0,0,1,substantive,1,1990,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,9.85725862302,28.1742195004
001-57635,nl,CHAMBER,3,1,0,1,procedural,1,1990,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,9.96755070197,26.8719809659
001-57642,se,CHAMBER,2,0,0,2,substantive,1,1990,10,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1926.0,1,0,1,0,0.0,0.0,0.0,1.0,10.3271303924,26.4228126767
001-57644,ch,CHAMBER,2,1,0,1,procedural,1,1990,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,10.5859665248,26.8770939471
001-57636,nl,CHAMBER,3,1,0,1,procedural,1,1990,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,1.0,0.0,4.0,0.0,9.96755070197,26.8719809659
001-57646,gb,CHAMBER,2,1,0,2,procedural,3,1990,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1930.0,1,0,2,1,1.0,0.0,0.0,1.0,9.85725862302,28.1742195004
001-57655,it,CHAMBER,4,0,0,1,procedural,1,1991,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1.0,0.0,0.0,1.0,9.9991674411,28.0953743025
001-57675,fr,CHAMBER,2,1,0,1,substantive,1,1991,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,9.97589090077,28.1324433326
001-57716,at,CHAMBER,2,1,0,2,substantive,1,1991,5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,10.0134234912,26.2348084831
001-57678,fr,CHAMBER,2,0,0,1,substantive,1,1991,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,4.0,0.0,9.97589090077,28.1324433326
001-57682,mt,CHAMBER,2,1,0,1,substantive,1,1991,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,8.93059461891,22.0553107586
001-57679,it,CHAMBER,3,0,0,2,procedural,1,1991,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,1.0,0.0,0.0,1.0,9.9991674411,28.0953743025
001-57683,at,CHAMBER,3,1,0,1,procedural,1,1991,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,10.0134234912,26.2348084831
001-57720,be,CHAMBER,2,1,0,1,substantive,1,1991,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,9.9543071157,26.428847593
001-57705,gb,CHAMBER,2,1,0,1,substantive,2,1991,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,14.0,0.0,9.89856177331,28.1612108562
001-57708,gb,CHAMBER,2,1,0,1,substantive,1,1991,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0.0,0.0,14.0,0.0,9.89856177331,28.1612108562
001-57703,nl,CHAMBER,3,1,0,1,procedural,1,1991,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,9.98806830915,26.8960795931
001-57710,at,CHAMBER,2,1,0,1,procedural,1,1991,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,10.0134234912,26.2348084831
001-57750,it,CHAMBER,2,0,0,1,substantive,1,1992,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,69.0,0.0,10.0561247748,28.1036824483
001-57771,gb,CHAMBER,2,1,1,1,substantive,1,1992,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,9.92760296371,28.1740750416
001-57767,fr,CHAMBER,2,1,0,1,substantive,1,1992,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1950.0,1,0,1,1,0.0,0.0,0.0,1.0,10.0696804412,28.1474901702
001-57790,fr,CHAMBER,3,0,0,1,procedural,1,1992,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,1.0,0.0,0.0,1.0,10.0696804412,28.1474901702
001-57772,es,CHAMBER,2,1,0,1,substantive,1,1992,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,9.6866788898,27.3714056245
001-57784,ch,CHAMBER,2,1,0,2,procedural,1,1992,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,10.6143441946,26.8674561614
001-57795,is,CHAMBER,3,1,0,1,substantive,1,1992,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,10.2425779341,22.9386010785
001-57757,at,CHAMBER,3,1,0,1,substantive,1,1992,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,10.1179419372,26.2555275964
001-57791,fr,CHAMBER,3,0,1,1,procedural,1,1992,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1963.0,1,0,1,0,1.0,0.0,0.0,1.0,10.0696804412,28.1474901702
001-57797,it,CHAMBER,3,0,0,1,procedural,1,1992,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1.0,0.0,0.0,1.0,10.0561247748,28.1036824483
001-57789,ie,CHAMBER,2,1,0,1,substantive,2,1992,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,1,0.0,0.0,0.0,1.0,9.66239543183,25.1871809646
001-57765,nl,CHAMBER,3,0,0,1,procedural,1,1992,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,1.0,0.0,52.0,0.0,10.0833150579,26.9129964023
001-57782,it,CHAMBER,2,0,0,1,substantive,1,1992,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0.0,0.0,138.0,0.0,10.0561247748,28.1036824483
001-57783,it,CHAMBER,2,0,0,1,substantive,1,1992,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0.0,0.0,100.0,0.0,10.0561247748,28.1036824483
001-57778,fr,CHAMBER,2,1,0,1,procedural,1,1992,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,1.0,0.0,30.0,0.0,10.0696804412,28.1474901702
001-57779,gr,CHAMBER,2,1,0,2,procedural,1,1992,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,9.30764966355,25.8197272307
001-57887,de,CHAMBER,2,0,0,1,substantive,1,1992,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0.0,0.0,0.0,1.0,10.1871937713,28.5612133889
001-57805,fr,CHAMBER,2,1,1,1,substantive,1,1993,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1908.0,1,0,1,0,0.0,0.0,0.0,1.0,10.0096398824,28.1438937326
