itemid,hudoc_url,judgementdate,chrono_date,split,test_view,test_challenging_view
001-57460,https://hudoc.echr.coe.int/eng?i=001-57460,22/02/1989 00:00:00,1989-02-22,train,,False
001-57514,https://hudoc.echr.coe.int/eng?i=001-57514,30/03/1989 00:00:00,1989-03-30,train,,False
001-57500,https://hudoc.echr.coe.int/eng?i=001-57500,24/05/1989 00:00:00,1989-05-24,train,,False
001-57515,https://hudoc.echr.coe.int/eng?i=001-57515,22/06/1989 00:00:00,1989-06-22,train,,False
001-57586,https://hudoc.echr.coe.int/eng?i=001-57586,07/07/1989 00:00:00,1989-07-07,train,,False
001-57611,https://hudoc.echr.coe.int/eng?i=001-57611,07/07/1989 00:00:00,1989-07-07,train,,False
001-57618,https://hudoc.echr.coe.int/eng?i=001-57618,07/07/1989 00:00:00,1989-07-07,train,,False
001-57619,https://hudoc.echr.coe.int/eng?i=001-57619,07/07/1989 00:00:00,1989-07-07,train,,False
001-57423,https://hudoc.echr.coe.int/eng?i=001-57423,25/10/1989 00:00:00,1989-10-25,train,,False
001-57612,https://hudoc.echr.coe.int/eng?i=001-57612,19/12/1989 00:00:00,1989-12-19,train,,False
001-57614,https://hudoc.echr.coe.int/eng?i=001-57614,19/12/1989 00:00:00,1989-12-19,train,,False
001-57638,https://hudoc.echr.coe.int/eng?i=001-57638,21/02/1990 00:00:00,1990-02-21,train,,False
001-57624,https://hudoc.echr.coe.int/eng?i=001-57624,28/03/1990 00:00:00,1990-03-28,train,,False
001-57626,https://hudoc.echr.coe.int/eng?i=001-57626,24/04/1990 00:00:00,1990-04-24,train,,False
001-57627,https://hudoc.echr.coe.int/eng?i=001-57627,24/04/1990 00:00:00,1990-04-24,train,,False
001-57629,https://hudoc.echr.coe.int/eng?i=001-57629,22/05/1990 00:00:00,1990-05-22,train,,False
001-57630,https://hudoc.echr.coe.int/eng?i=001-57630,22/05/1990 00:00:00,1990-05-22,train,,False
001-57634,https://hudoc.echr.coe.int/eng?i=001-57634,29/08/1990 00:00:00,1990-08-29,train,,False
001-57640,https://hudoc.echr.coe.int/eng?i=001-57640,30/08/1990 00:00:00,1990-08-30,train,,False
001-57635,https://hudoc.echr.coe.int/eng?i=001-57635,27/09/1990 00:00:00,1990-09-27,train,,False
001-57642,https://hudoc.echr.coe.int/eng?i=001-57642,23/10/1990 00:00:00,1990-10-23,train,,False
001-57644,https://hudoc.echr.coe.int/eng?i=001-57644,23/10/1990 00:00:00,1990-10-23,train,,False
001-57636,https://hudoc.echr.coe.int/eng?i=001-57636,25/10/1990 00:00:00,1990-10-25,train,,False
001-57646,https://hudoc.echr.coe.int/eng?i=001-57646,25/10/1990 00:00:00,1990-10-25,train,,False
001-57655,https://hudoc.echr.coe.int/eng?i=001-57655,19/02/1991 00:00:00,1991-02-19,train,,False
001-57675,https://hudoc.echr.coe.int/eng?i=001-57675,26/04/1991 00:00:00,1991-04-26,train,,False
001-57716,https://hudoc.echr.coe.int/eng?i=001-57716,23/05/1991 00:00:00,1991-05-23,train,,False
001-57678,https://hudoc.echr.coe.int/eng?i=001-57678,26/06/1991 00:00:00,1991-06-26,train,,False
001-57682,https://hudoc.echr.coe.int/eng?i=001-57682,27/08/1991 00:00:00,1991-08-27,train,,False
001-57679,https://hudoc.echr.coe.int/eng?i=001-57679,28/08/1991 00:00:00,1991-08-28,train,,False
001-57683,https://hudoc.echr.coe.int/eng?i=001-57683,28/08/1991 00:00:00,1991-08-28,train,,False
001-57720,https://hudoc.echr.coe.int/eng?i=001-57720,30/10/1991 00:00:00,1991-10-30,train,,False
001-57705,https://hudoc.echr.coe.int/eng?i=001-57705,26/11/1991 00:00:00,1991-11-26,train,,False
001-57708,https://hudoc.echr.coe.int/eng?i=001-57708,26/11/1991 00:00:00,1991-11-26,train,,False
001-57703,https://hudoc.echr.coe.int/eng?i=001-57703,28/11/1991 00:00:00,1991-11-28,train,,False
001-57710,https://hudoc.echr.coe.int/eng?i=001-57710,12/12/1991 00:00:00,1991-12-12,train,,False
001-57750,https://hudoc.echr.coe.int/eng?i=001-57750,26/02/1992 00:00:00,1992-02-26,train,,False
001-57771,https://hudoc.echr.coe.int/eng?i=001-57771,25/03/1992 00:00:00,1992-03-25,train,,False
001-57767,https://hudoc.echr.coe.int/eng?i=001-57767,26/03/1992 00:00:00,1992-03-26,train,,False
001-57790,https://hudoc.echr.coe.int/eng?i=001-57790,26/03/1992 00:00:00,1992-03-26,train,,False
001-57772,https://hudoc.echr.coe.int/eng?i=001-57772,23/04/1992 00:00:00,1992-04-23,train,,False
001-57784,https://hudoc.echr.coe.int/eng?i=001-57784,15/06/1992 00:00:00,1992-06-15,train,,False
001-57795,https://hudoc.echr.coe.int/eng?i=001-57795,25/06/1992 00:00:00,1992-06-25,train,,False
001-57757,https://hudoc.echr.coe.int/eng?i=001-57757,28/08/1992 00:00:00,1992-08-28,train,,False
001-57791,https://hudoc.echr.coe.int/eng?i=001-57791,25/09/1992 00:00:00,1992-09-25,train,,False
001-57797,https://hudoc.echr.coe.int/eng?i=001-57797,12/10/1992 00:00:00,1992-10-12,train,,False
001-57789,https://hudoc.echr.coe.int/eng?i=001-57789,29/10/1992 00:00:00,1992-10-29,train,,False
001-57765,https://hudoc.echr.coe.int/eng?i=001-57765,25/11/1992 00:00:00,1992-11-25,train,,False
001-57782,https://hudoc.echr.coe.int/eng?i=001-57782,26/11/1992 00:00:00,1992-11-26,train,,False
001-57783,https://hudoc.echr.coe.int/eng?i=001-57783,26/11/1992 00:00:00,1992-11-26,train,,False
001-57778,https://hudoc.echr.coe.int/eng?i=001-57778,16/12/1992 00:00:00,1992-12-16,train,,False
001-57779,https://hudoc.echr.coe.int/eng?i=001-57779,16/12/1992 00:00:00,1992-12-16,train,,False
001-57887,https://hudoc.echr.coe.int/eng?i=001-57887,16/12/1992 00:00:00,1992-12-16,train,,False
001-57805,https://hudoc.echr.coe.int/eng?i=001-57805,25/02/1993 00:00:00,1993-02-25,train,,False
001-57834,https://hudoc.echr.coe.int/eng?i=001-57834,22/04/1993 00:00:00,1993-04-22,train,,False
001-57820,https://hudoc.echr.coe.int/eng?i=001-57820,26/05/1993 00:00:00,1993-05-26,train,,False
001-57825,https://hudoc.echr.coe.int/eng?i=001-57825,23/06/1993 00:00:00,1993-06-23,train,,False
001-57840,https://hudoc.echr.coe.int/eng?i=001-57840,24/06/1993 00:00:00,1993-06-24,train,,False
001-57844,https://hudoc.echr.coe.int/eng?i=001-57844,30/06/1993 00:00:00,1993-06-30,train,,False
001-57842,https://hudoc.echr.coe.int/eng?i=001-57842,25/08/1993 00:00:00,1993-08-25,train,,False
001-57839,https://hudoc.echr.coe.int/eng?i=001-57839,20/09/1993 00:00:00,1993-09-20,train,,False
001-57829,https://hudoc.echr.coe.int/eng?i=001-57829,21/09/1993 00:00:00,1993-09-21,train,,False
001-57850,https://hudoc.echr.coe.int/eng?i=001-57850,27/10/1993 00:00:00,1993-10-27,train,,False
001-57848,https://hudoc.echr.coe.int/eng?i=001-57848,23/11/1993 00:00:00,1993-11-23,train,,False
001-57858,https://hudoc.echr.coe.int/eng?i=001-57858,23/11/1993 00:00:00,1993-11-23,train,,False
001-57854,https://hudoc.echr.coe.int/eng?i=001-57854,24/11/1993 00:00:00,1993-11-24,train,,False
001-57851,https://hudoc.echr.coe.int/eng?i=001-57851,25/11/1993 00:00:00,1993-11-25,train,,False
001-57865,https://hudoc.echr.coe.int/eng?i=001-57865,22/02/1994 00:00:00,1994-02-22,train,,False
001-57867,https://hudoc.echr.coe.int/eng?i=001-57867,23/02/1994 00:00:00,1994-02-23,train,,False
001-57878,https://hudoc.echr.coe.int/eng?i=001-57878,19/04/1994 00:00:00,1994-04-19,train,,False
001-57880,https://hudoc.echr.coe.int/eng?i=001-57880,18/07/1994 00:00:00,1994-07-18,train,,False
001-57900,https://hudoc.echr.coe.int/eng?i=001-57900,22/09/1994 00:00:00,1994-09-22,train,,False
001-57902,https://hudoc.echr.coe.int/eng?i=001-57902,22/09/1994 00:00:00,1994-09-22,train,,False
001-57891,https://hudoc.echr.coe.int/eng?i=001-57891,23/09/1994 00:00:00,1994-09-23,train,,False
001-57904,https://hudoc.echr.coe.int/eng?i=001-57904,27/10/1994 00:00:00,1994-10-27,train,,False
001-57899,https://hudoc.echr.coe.int/eng?i=001-57899,28/10/1994 00:00:00,1994-10-28,train,,False
001-57901,https://hudoc.echr.coe.int/eng?i=001-57901,28/10/1994 00:00:00,1994-10-28,train,,False
001-57907,https://hudoc.echr.coe.int/eng?i=001-57907,09/12/1994 00:00:00,1994-12-09,train,,False
001-57909,https://hudoc.echr.coe.int/eng?i=001-57909,09/12/1994 00:00:00,1994-12-09,train,,False
001-57910,https://hudoc.echr.coe.int/eng?i=001-57910,09/12/1994 00:00:00,1994-12-09,train,,False
001-57913,https://hudoc.echr.coe.int/eng?i=001-57913,09/12/1994 00:00:00,1994-12-09,train,,False
001-57908,https://hudoc.echr.coe.int/eng?i=001-57908,19/12/1994 00:00:00,1994-12-19,train,,False
001-57915,https://hudoc.echr.coe.int/eng?i=001-57915,09/02/1995 00:00:00,1995-02-09,train,,False
001-57916,https://hudoc.echr.coe.int/eng?i=001-57916,26/04/1995 00:00:00,1995-04-26,train,,False
001-57925,https://hudoc.echr.coe.int/eng?i=001-57925,27/04/1995 00:00:00,1995-04-27,train,,False
001-57930,https://hudoc.echr.coe.int/eng?i=001-57930,13/07/1995 00:00:00,1995-07-13,train,,False
001-57934,https://hudoc.echr.coe.int/eng?i=001-57934,13/07/1995 00:00:00,1995-07-13,train,,False
001-57947,https://hudoc.echr.coe.int/eng?i=001-57947,13/07/1995 00:00:00,1995-07-13,train,,False
001-57941,https://hudoc.echr.coe.int/eng?i=001-57941,19/07/1995 00:00:00,1995-07-19,train,,False
001-57943,https://hudoc.echr.coe.int/eng?i=001-57943,27/09/1995 00:00:00,1995-09-27,train,,False
001-57944,https://hudoc.echr.coe.int/eng?i=001-57944,28/09/1995 00:00:00,1995-09-28,train,,False
001-57945,https://hudoc.echr.coe.int/eng?i=001-57945,23/10/1995 00:00:00,1995-10-23,train,,False
001-57948,https://hudoc.echr.coe.int/eng?i=001-57948,23/10/1995 00:00:00,1995-10-23,train,,False
001-57958,https://hudoc.echr.coe.int/eng?i=001-57958,23/10/1995 00:00:00,1995-10-23,train,,False
001-57960,https://hudoc.echr.coe.int/eng?i=001-57960,23/10/1995 00:00:00,1995-10-23,train,,False
001-57962,https://hudoc.echr.coe.int/eng?i=001-57962,23/10/1995 00:00:00,1995-10-23,train,,False
001-57963,https://hudoc.echr.coe.int/eng?i=001-57963,23/10/1995 00:00:00,1995-10-23,train,,False
001-57980,https://hudoc.echr.coe.int/eng?i=001-57980,08/02/1996 00:00:00,1996-02-08,train,,False
001-57970,https://hudoc.echr.coe.int/eng?i=001-57970,19/02/1996 00:00:00,1996-02-19,train,,False
001-57978,https://hudoc.echr.coe.int/eng?i=001-57978,20/02/1996 00:00:00,1996-02-20,train,,False
001-57985,https://hudoc.echr.coe.int/eng?i=001-57985,20/02/1996 00:00:00,1996-02-20,train,,False
001-57976,https://hudoc.echr.coe.int/eng?i=001-57976,21/02/1996 00:00:00,1996-02-21,train,,False
001-57984,https://hudoc.echr.coe.int/eng?i=001-57984,21/02/1996 00:00:00,1996-02-21,train,,False
001-57974,https://hudoc.echr.coe.int/eng?i=001-57974,27/03/1996 00:00:00,1996-03-27,train,,False
001-57983,https://hudoc.echr.coe.int/eng?i=001-57983,23/04/1996 00:00:00,1996-04-23,train,,False
001-57990,https://hudoc.echr.coe.int/eng?i=001-57990,10/06/1996 00:00:00,1996-06-10,train,,False
001-57988,https://hudoc.echr.coe.int/eng?i=001-57988,25/06/1996 00:00:00,1996-06-25,train,,False
001-57997,https://hudoc.echr.coe.int/eng?i=001-57997,07/08/1996 00:00:00,1996-08-07,train,,False
001-58060,https://hudoc.echr.coe.int/eng?i=001-58060,16/09/1996 00:00:00,1996-09-16,train,,False
001-58071,https://hudoc.echr.coe.int/eng?i=001-58071,26/09/1996 00:00:00,1996-09-26,train,,False
001-58004,https://hudoc.echr.coe.int/eng?i=001-58004,15/11/1996 00:00:00,1996-11-15,train,,False
001-58072,https://hudoc.echr.coe.int/eng?i=001-58072,15/11/1996 00:00:00,1996-11-15,train,,False
001-58073,https://hudoc.echr.coe.int/eng?i=001-58073,15/11/1996 00:00:00,1996-11-15,train,,False
001-58001,https://hudoc.echr.coe.int/eng?i=001-58001,17/12/1996 00:00:00,1996-12-17,train,,False
001-58009,https://hudoc.echr.coe.int/eng?i=001-58009,17/12/1996 00:00:00,1996-12-17,train,,False
001-58082,https://hudoc.echr.coe.int/eng?i=001-58082,17/12/1996 00:00:00,1996-12-17,train,,False
001-58083,https://hudoc.echr.coe.int/eng?i=001-58083,17/12/1996 00:00:00,1996-12-17,train,,False
001-58010,https://hudoc.echr.coe.int/eng?i=001-58010,18/12/1996 00:00:00,1996-12-18,train,,False
001-58011,https://hudoc.echr.coe.int/eng?i=001-58011,18/12/1996 00:00:00,1996-12-18,train,,False
001-58024,https://hudoc.echr.coe.int/eng?i=001-58024,18/02/1997 00:00:00,1997-02-18,train,,False
001-58199,https://hudoc.echr.coe.int/eng?i=001-58199,18/02/1997 00:00:00,1997-02-18,train,,False
001-58031,https://hudoc.echr.coe.int/eng?i=001-58031,21/02/1997 00:00:00,1997-02-21,train,,False
001-58016,https://hudoc.echr.coe.int/eng?i=001-58016,25/02/1997 00:00:00,1997-02-25,train,,False
001-58017,https://hudoc.echr.coe.int/eng?i=001-58017,18/03/1997 00:00:00,1997-03-18,train,,False
001-58023,https://hudoc.echr.coe.int/eng?i=001-58023,18/03/1997 00:00:00,1997-03-18,train,,False
001-58035,https://hudoc.echr.coe.int/eng?i=001-58035,02/05/1997 00:00:00,1997-05-02,train,,False
001-58037,https://hudoc.echr.coe.int/eng?i=001-58037,29/05/1997 00:00:00,1997-05-29,train,,False
001-58039,https://hudoc.echr.coe.int/eng?i=001-58039,25/06/1997 00:00:00,1997-06-25,train,,False
001-58044,https://hudoc.echr.coe.int/eng?i=001-58044,01/07/1997 00:00:00,1997-07-01,train,,False
001-58085,https://hudoc.echr.coe.int/eng?i=001-58085,26/08/1997 00:00:00,1997-08-26,train,,False
001-58178,https://hudoc.echr.coe.int/eng?i=001-58178,29/08/1997 00:00:00,1997-08-29,train,,False
001-58179,https://hudoc.echr.coe.int/eng?i=001-58179,29/08/1997 00:00:00,1997-08-29,train,,False
001-58095,https://hudoc.echr.coe.int/eng?i=001-58095,23/09/1997 00:00:00,1997-09-23,train,,False
001-58096,https://hudoc.echr.coe.int/eng?i=001-58096,24/09/1997 00:00:00,1997-09-24,train,,False
001-58097,https://hudoc.echr.coe.int/eng?i=001-58097,24/09/1997 00:00:00,1997-09-24,train,,False
001-58098,https://hudoc.echr.coe.int/eng?i=001-58098,26/09/1997 00:00:00,1997-09-26,train,,False
001-58104,https://hudoc.echr.coe.int/eng?i=001-58104,20/10/1997 00:00:00,1997-10-20,train,,False
001-58113,https://hudoc.echr.coe.int/eng?i=001-58113,24/11/1997 00:00:00,1997-11-24,train,,False
001-58114,https://hudoc.echr.coe.int/eng?i=001-58114,24/11/1997 00:00:00,1997-11-24,train,,False
001-58116,https://hudoc.echr.coe.int/eng?i=001-58116,25/11/1997 00:00:00,1997-11-25,train,,False
001-58119,https://hudoc.echr.coe.int/eng?i=001-58119,27/11/1997 00:00:00,1997-11-27,train,,False
001-58120,https://hudoc.echr.coe.int/eng?i=001-58120,28/11/1997 00:00:00,1997-11-28,train,,False
001-58124,https://hudoc.echr.coe.int/eng?i=001-58124,16/12/1997 00:00:00,1997-12-16,train,,False
001-58125,https://hudoc.echr.coe.int/eng?i=001-58125,16/12/1997 00:00:00,1997-12-16,train,,False
001-58128,https://hudoc.echr.coe.int/eng?i=001-58128,30/01/1998 00:00:00,1998-01-30,train,,False
001-58129,https://hudoc.echr.coe.int/eng?i=001-58129,19/02/1998 00:00:00,1998-02-19,train,,False
001-58134,https://hudoc.echr.coe.int/eng?i=001-58134,19/02/1998 00:00:00,1998-02-19,train,,False
001-58144,https://hudoc.echr.coe.int/eng?i=001-58144,25/03/1998 00:00:00,1998-03-25,train,,False
001-58145,https://hudoc.echr.coe.int/eng?i=001-58145,25/03/1998 00:00:00,1998-03-25,train,,False
001-58147,https://hudoc.echr.coe.int/eng?i=001-58147,27/03/1998 00:00:00,1998-03-27,train,,False
001-58148,https://hudoc.echr.coe.int/eng?i=001-58148,27/03/1998 00:00:00,1998-03-27,train,,False
001-58149,https://hudoc.echr.coe.int/eng?i=001-58149,31/03/1998 00:00:00,1998-03-31,train,,False
001-58154,https://hudoc.echr.coe.int/eng?i=001-58154,21/04/1998 00:00:00,1998-04-21,train,,False
001-58166,https://hudoc.echr.coe.int/eng?i=001-58166,20/05/1998 00:00:00,1998-05-20,train,,False
001-58205,https://hudoc.echr.coe.int/eng?i=001-58205,10/07/1998 00:00:00,1998-07-10,train,,False
001-58203,https://hudoc.echr.coe.int/eng?i=001-58203,29/07/1998 00:00:00,1998-07-29,train,,False
001-58208,https://hudoc.echr.coe.int/eng?i=001-58208,30/07/1998 00:00:00,1998-07-30,train,,False
001-58218,https://hudoc.echr.coe.int/eng?i=001-58218,24/08/1998 00:00:00,1998-08-24,train,,False
001-58233,https://hudoc.echr.coe.int/eng?i=001-58233,02/09/1998 00:00:00,1998-09-02,train,,False
001-58229,https://hudoc.echr.coe.int/eng?i=001-58229,23/09/1998 00:00:00,1998-09-23,train,,False
001-58237,https://hudoc.echr.coe.int/eng?i=001-58237,23/09/1998 00:00:00,1998-09-23,train,,False
001-58241,https://hudoc.echr.coe.int/eng?i=001-58241,23/09/1998 00:00:00,1998-09-23,train,,False
001-58245,https://hudoc.echr.coe.int/eng?i=001-58245,23/09/1998 00:00:00,1998-09-23,train,,False
001-58253,https://hudoc.echr.coe.int/eng?i=001-58253,28/10/1998 00:00:00,1998-10-28,train,,False
001-58256,https://hudoc.echr.coe.int/eng?i=001-58256,28/10/1998 00:00:00,1998-10-28,train,,False
001-58259,https://hudoc.echr.coe.int/eng?i=001-58259,28/10/1998 00:00:00,1998-10-28,train,,False
001-58260,https://hudoc.echr.coe.int/eng?i=001-58260,28/10/1998 00:00:00,1998-10-28,train,,False
001-58264,https://hudoc.echr.coe.int/eng?i=001-58264,30/10/1998 00:00:00,1998-10-30,train,,False
001-58906,https://hudoc.echr.coe.int/eng?i=001-58906,21/01/1999 00:00:00,1999-01-21,train,,False
001-58908,https://hudoc.echr.coe.int/eng?i=001-58908,21/01/1999 00:00:00,1999-01-21,train,,False
001-58211,https://hudoc.echr.coe.int/eng?i=001-58211,18/02/1999 00:00:00,1999-02-18,train,,False
001-58911,https://hudoc.echr.coe.int/eng?i=001-58911,18/02/1999 00:00:00,1999-02-18,train,,False
001-58913,https://hudoc.echr.coe.int/eng?i=001-58913,18/02/1999 00:00:00,1999-02-18,train,,False
001-58914,https://hudoc.echr.coe.int/eng?i=001-58914,18/02/1999 00:00:00,1999-02-18,train,,False
001-58915,https://hudoc.echr.coe.int/eng?i=001-58915,18/02/1999 00:00:00,1999-02-18,train,,False
001-58225,https://hudoc.echr.coe.int/eng?i=001-58225,25/03/1999 00:00:00,1999-03-25,train,,False
001-58226,https://hudoc.echr.coe.int/eng?i=001-58226,25/03/1999 00:00:00,1999-03-25,train,,False
001-58228,https://hudoc.echr.coe.int/eng?i=001-58228,25/03/1999 00:00:00,1999-03-25,train,,False
001-58239,https://hudoc.echr.coe.int/eng?i=001-58239,29/04/1999 00:00:00,1999-04-29,train,,False
001-58242,https://hudoc.echr.coe.int/eng?i=001-58242,29/04/1999 00:00:00,1999-04-29,train,,False
001-58288,https://hudoc.echr.coe.int/eng?i=001-58288,29/04/1999 00:00:00,1999-04-29,train,,False
001-58300,https://hudoc.echr.coe.int/eng?i=001-58300,12/05/1999 00:00:00,1999-05-12,train,,False
001-58301,https://hudoc.echr.coe.int/eng?i=001-58301,12/05/1999 00:00:00,1999-05-12,train,,False
001-58251,https://hudoc.echr.coe.int/eng?i=001-58251,20/05/1999 00:00:00,1999-05-20,train,,False
001-58369,https://hudoc.echr.coe.int/eng?i=001-58369,20/05/1999 00:00:00,1999-05-20,train,,False
001-58266,https://hudoc.echr.coe.int/eng?i=001-58266,05/07/1999 00:00:00,1999-07-05,train,,False
001-58270,https://hudoc.echr.coe.int/eng?i=001-58270,08/07/1999 00:00:00,1999-07-08,train,,False
001-58271,https://hudoc.echr.coe.int/eng?i=001-58271,08/07/1999 00:00:00,1999-07-08,train,,False
001-58272,https://hudoc.echr.coe.int/eng?i=001-58272,08/07/1999 00:00:00,1999-07-08,train,,False
001-58273,https://hudoc.echr.coe.int/eng?i=001-58273,08/07/1999 00:00:00,1999-07-08,train,,False
001-58274,https://hudoc.echr.coe.int/eng?i=001-58274,08/07/1999 00:00:00,1999-07-08,train,,False
001-58275,https://hudoc.echr.coe.int/eng?i=001-58275,08/07/1999 00:00:00,1999-07-08,train,,False
001-58276,https://hudoc.echr.coe.int/eng?i=001-58276,08/07/1999 00:00:00,1999-07-08,train,,False
001-58277,https://hudoc.echr.coe.int/eng?i=001-58277,08/07/1999 00:00:00,1999-07-08,train,,False
001-58279,https://hudoc.echr.coe.int/eng?i=001-58279,08/07/1999 00:00:00,1999-07-08,train,,False
001-58280,https://hudoc.echr.coe.int/eng?i=001-58280,08/07/1999 00:00:00,1999-07-08,train,,False
001-58281,https://hudoc.echr.coe.int/eng?i=001-58281,08/07/1999 00:00:00,1999-07-08,train,,False
001-58282,https://hudoc.echr.coe.int/eng?i=001-58282,08/07/1999 00:00:00,1999-07-08,train,,False
001-58289,https://hudoc.echr.coe.int/eng?i=001-58289,08/07/1999 00:00:00,1999-07-08,train,,False
001-58298,https://hudoc.echr.coe.int/eng?i=001-58298,08/07/1999 00:00:00,1999-07-08,train,,False
001-58284,https://hudoc.echr.coe.int/eng?i=001-58284,22/07/1999 00:00:00,1999-07-22,train,,False
001-58292,https://hudoc.echr.coe.int/eng?i=001-58292,28/07/1999 00:00:00,1999-07-28,train,,False
001-58293,https://hudoc.echr.coe.int/eng?i=001-58293,28/07/1999 00:00:00,1999-07-28,train,,False
001-58295,https://hudoc.echr.coe.int/eng?i=001-58295,28/07/1999 00:00:00,1999-07-28,train,,False
001-58296,https://hudoc.echr.coe.int/eng?i=001-58296,28/07/1999 00:00:00,1999-07-28,train,,False
001-58297,https://hudoc.echr.coe.int/eng?i=001-58297,28/07/1999 00:00:00,1999-07-28,train,,False
001-58304,https://hudoc.echr.coe.int/eng?i=001-58304,16/09/1999 00:00:00,1999-09-16,train,,False
001-58305,https://hudoc.echr.coe.int/eng?i=001-58305,28/09/1999 00:00:00,1999-09-28,train,,False
001-58306,https://hudoc.echr.coe.int/eng?i=001-58306,28/09/1999 00:00:00,1999-09-28,train,,False
001-58409,https://hudoc.echr.coe.int/eng?i=001-58409,29/09/1999 00:00:00,1999-09-29,train,,False
001-58410,https://hudoc.echr.coe.int/eng?i=001-58410,29/09/1999 00:00:00,1999-09-29,train,,False
001-58321,https://hudoc.echr.coe.int/eng?i=001-58321,14/10/1999 00:00:00,1999-10-14,train,,False
001-58457,https://hudoc.echr.coe.int/eng?i=001-58457,19/10/1999 00:00:00,1999-10-19,train,,False
001-58338,https://hudoc.echr.coe.int/eng?i=001-58338,28/10/1999 00:00:00,1999-10-28,train,,False
001-58592,https://hudoc.echr.coe.int/eng?i=001-58592,28/10/1999 00:00:00,1999-10-28,train,,False
001-58360,https://hudoc.echr.coe.int/eng?i=001-58360,16/11/1999 00:00:00,1999-11-16,train,,False
001-58364,https://hudoc.echr.coe.int/eng?i=001-58364,25/11/1999 00:00:00,1999-11-25,train,,False
001-58365,https://hudoc.echr.coe.int/eng?i=001-58365,25/11/1999 00:00:00,1999-11-25,train,,False
001-58367,https://hudoc.echr.coe.int/eng?i=001-58367,30/11/1999 00:00:00,1999-11-30,train,,False
001-58372,https://hudoc.echr.coe.int/eng?i=001-58372,08/12/1999 00:00:00,1999-12-08,train,,False
001-58374,https://hudoc.echr.coe.int/eng?i=001-58374,14/12/1999 00:00:00,1999-12-14,train,,False
