itemid,hudoc_url,split,test_view,test_challenging_view,respondent_state,country_alpha2,judgment_year,gdp_per_capita_current_usd,gdp_constant_2015_usd,gdp_per_capita_log1p,gdp_constant_2015_log1p
001-57505,https://hudoc.echr.coe.int/eng?i=001-57505,train,,False,Austria,at,1987,16328.5613047,213706819793.0,9.70073232123,26.0878709117
001-57490,https://hudoc.echr.coe.int/eng?i=001-57490,train,,False,Switzerland,ch,1987,30440.510824,421194295501.0,10.3235624436,26.7663600737
001-57446,https://hudoc.echr.coe.int/eng?i=001-57446,train,,False,United Kingdom,gb,1988,15987.1680776,1670090505990.0,9.67960423251,28.1438989361
001-57477,https://hudoc.echr.coe.int/eng?i=001-57477,train,,False,Sweden,se,1988,24499.1240759,288826638634.0,10.1064334608,26.3890924788
001-57555,https://hudoc.echr.coe.int/eng?i=001-57555,train,,False,Belgium,be,1988,16391.0938278,276558286707.0,9.7045544139,26.3456874375
001-57575,https://hudoc.echr.coe.int/eng?i=001-57575,train,,False,Switzerland,ch,1988,32690.4302735,434999344090.0,10.3948682514,26.7986103602
001-57547,https://hudoc.echr.coe.int/eng?i=001-57547,train,,False,Ireland,ie,1988,10715.8702781,71817859762.7,9.27957444032,24.9973990253
001-57460,https://hudoc.echr.coe.int/eng?i=001-57460,train,,False,Italy,it,1989,16424.4301587,1536370314480.0,9.70658603228,28.0604438118
001-57514,https://hudoc.echr.coe.int/eng?i=001-57514,train,,False,Belgium,be,1989,16525.0617433,286152555458.0,9.71269391338,26.3797909163
001-57500,https://hudoc.echr.coe.int/eng?i=001-57500,train,,False,Denmark,dk,1989,21882.1517464,198773654972.0,9.99347229307,26.0154326021
001-57515,https://hudoc.echr.coe.int/eng?i=001-57515,train,,False,Sweden,se,1989,25625.0162128,296494428193.0,10.1513633727,26.4152942633
001-57586,https://hudoc.echr.coe.int/eng?i=001-57586,train,,False,Sweden,se,1989,25625.0162128,296494428193.0,10.1513633727,26.4152942633
001-57611,https://hudoc.echr.coe.int/eng?i=001-57611,train,,False,Belgium,be,1989,16525.0617433,286152555458.0,9.71269391338,26.3797909163
001-57618,https://hudoc.echr.coe.int/eng?i=001-57618,train,,False,Spain,es,1989,10674.341023,718117156374.0,9.27569178354,27.2998985631
001-57619,https://hudoc.echr.coe.int/eng?i=001-57619,train,,False,United Kingdom,gb,1989,16239.2821961,1708192731040.0,9.69524999017,28.1664570451
001-57423,https://hudoc.echr.coe.int/eng?i=001-57423,train,,False,Sweden,se,1989,25625.0162128,296494428193.0,10.1513633727,26.4152942633
001-57612,https://hudoc.echr.coe.int/eng?i=001-57612,train,,False,Italy,it,1989,16424.4301587,1536370314480.0,9.70658603228,28.0604438118
001-57614,https://hudoc.echr.coe.int/eng?i=001-57614,train,,False,Austria,at,1989,17400.522662,229331070530.0,9.76431299068,26.1584325193
001-57638,https://hudoc.echr.coe.int/eng?i=001-57638,train,,False,Sweden,se,1990,30549.3185707,298731996823.0,10.3271303924,26.4228126767
001-57624,https://hudoc.echr.coe.int/eng?i=001-57624,train,,False,United Kingdom,gb,1990,19095.4669985,1721504098260.0,9.85725862302,28.1742195004
001-57626,https://hudoc.echr.coe.int/eng?i=001-57626,train,,False,France,fr,1990,21586.4674617,1630899060960.0,9.97986821518,28.1201525498
001-57627,https://hudoc.echr.coe.int/eng?i=001-57627,train,,False,France,fr,1990,21586.4674617,1630899060960.0,9.97986821518,28.1201525498
001-57629,https://hudoc.echr.coe.int/eng?i=001-57629,train,,False,Switzerland,ch,1990,39574.5398084,470515127362.0,10.5859665248,26.8770939471
001-57630,https://hudoc.echr.coe.int/eng?i=001-57630,train,,False,Switzerland,ch,1990,39574.5398084,470515127362.0,10.5859665248,26.8770939471
001-57634,https://hudoc.echr.coe.int/eng?i=001-57634,train,,False,Norway,no,1990,28242.9814028,211808370316.0,10.2486356662,26.0789477892
001-57640,https://hudoc.echr.coe.int/eng?i=001-57640,train,,False,United Kingdom,gb,1990,19095.4669985,1721504098260.0,9.85725862302,28.1742195004
001-57635,https://hudoc.echr.coe.int/eng?i=001-57635,train,,False,Netherlands,nl,1990,21322.1944803,468115532100.0,9.96755070197,26.8719809659
001-57642,https://hudoc.echr.coe.int/eng?i=001-57642,train,,False,Sweden,se,1990,30549.3185707,298731996823.0,10.3271303924,26.4228126767
001-57644,https://hudoc.echr.coe.int/eng?i=001-57644,train,,False,Switzerland,ch,1990,39574.5398084,470515127362.0,10.5859665248,26.8770939471
001-57636,https://hudoc.echr.coe.int/eng?i=001-57636,train,,False,Netherlands,nl,1990,21322.1944803,468115532100.0,9.96755070197,26.8719809659
001-57646,https://hudoc.echr.coe.int/eng?i=001-57646,train,,False,United Kingdom,gb,1990,19095.4669985,1721504098260.0,9.85725862302,28.1742195004
001-57655,https://hudoc.echr.coe.int/eng?i=001-57655,train,,False,Italy,it,1991,22007.1350964,1590984785700.0,9.9991674411,28.0953743025
001-57675,https://hudoc.echr.coe.int/eng?i=001-57675,train,,False,France,fr,1991,21500.7778366,1651067777790.0,9.97589090077,28.1324433326
001-57716,https://hudoc.echr.coe.int/eng?i=001-57716,train,,False,Austria,at,1991,22323.1312493,247532688033.0,10.0134234912,26.2348084831
001-57678,https://hudoc.echr.coe.int/eng?i=001-57678,train,,False,France,fr,1991,21500.7778366,1651067777790.0,9.97589090077,28.1324433326
001-57682,https://hudoc.echr.coe.int/eng?i=001-57682,train,,False,Malta,mt,1991,7558.75921583,3788783235.07,8.93059461891,22.0553107586
001-57679,https://hudoc.echr.coe.int/eng?i=001-57679,train,,False,Italy,it,1991,22007.1350964,1590984785700.0,9.9991674411,28.0953743025
001-57683,https://hudoc.echr.coe.int/eng?i=001-57683,train,,False,Austria,at,1991,22323.1312493,247532688033.0,10.0134234912,26.2348084831
001-57720,https://hudoc.echr.coe.int/eng?i=001-57720,train,,False,Belgium,be,1991,21041.660652,300540270315.0,9.9543071157,26.428847593
001-57705,https://hudoc.echr.coe.int/eng?i=001-57705,train,,False,United Kingdom,gb,1991,19900.7266505,1699254695040.0,9.89856177331,28.1612108562
001-57708,https://hudoc.echr.coe.int/eng?i=001-57708,train,,False,United Kingdom,gb,1991,19900.7266505,1699254695040.0,9.89856177331,28.1612108562
001-57703,https://hudoc.echr.coe.int/eng?i=001-57703,train,,False,Netherlands,nl,1991,21764.2144987,479533499921.0,9.98806830915,26.8960795931
001-57710,https://hudoc.echr.coe.int/eng?i=001-57710,train,,False,Austria,at,1991,22323.1312493,247532688033.0,10.0134234912,26.2348084831
001-57750,https://hudoc.echr.coe.int/eng?i=001-57750,train,,False,Italy,it,1992,23297.0460325,1604257980660.0,10.0561247748,28.1036824483
001-57771,https://hudoc.echr.coe.int/eng?i=001-57771,train,,False,United Kingdom,gb,1992,20487.1707853,1721255429800.0,9.92760296371,28.1740750416
001-57767,https://hudoc.echr.coe.int/eng?i=001-57767,train,,False,France,fr,1992,23615.0168565,1676098974380.0,10.0696804412,28.1474901702
001-57790,https://hudoc.echr.coe.int/eng?i=001-57790,train,,False,France,fr,1992,23615.0168565,1676098974380.0,10.0696804412,28.1474901702
001-57772,https://hudoc.echr.coe.int/eng?i=001-57772,train,,False,Spain,es,1992,16100.6799428,771348118767.0,9.6866788898,27.3714056245
001-57784,https://hudoc.echr.coe.int/eng?i=001-57784,train,,False,Switzerland,ch,1992,40713.6881521,466002185701.0,10.6143441946,26.8674561614
001-57795,https://hudoc.echr.coe.int/eng?i=001-57795,train,,False,Iceland,is,1992,28072.4041083,9164480910.38,10.2425779341,22.9386010785
001-57757,https://hudoc.echr.coe.int/eng?i=001-57757,train,,False,Austria,at,1992,24782.7118767,252714845320.0,10.1179419372,26.2555275964
001-57791,https://hudoc.echr.coe.int/eng?i=001-57791,train,,False,France,fr,1992,23615.0168565,1676098974380.0,10.0696804412,28.1474901702
001-57797,https://hudoc.echr.coe.int/eng?i=001-57797,train,,False,Italy,it,1992,23297.0460325,1604257980660.0,10.0561247748,28.1036824483
001-57789,https://hudoc.echr.coe.int/eng?i=001-57789,train,,False,Ireland,ie,1992,15714.3847487,86826782446.2,9.66239543183,25.1871809646
001-57765,https://hudoc.echr.coe.int/eng?i=001-57765,train,,False,Netherlands,nl,1992,23939.2173482,487714681271.0,10.0833150579,26.9129964023
001-57782,https://hudoc.echr.coe.int/eng?i=001-57782,train,,False,Italy,it,1992,23297.0460325,1604257980660.0,10.0561247748,28.1036824483
001-57783,https://hudoc.echr.coe.int/eng?i=001-57783,train,,False,Italy,it,1992,23297.0460325,1604257980660.0,10.0561247748,28.1036824483
001-57778,https://hudoc.echr.coe.int/eng?i=001-57778,train,,False,France,fr,1992,23615.0168565,1676098974380.0,10.0696804412,28.1474901702
001-57779,https://hudoc.echr.coe.int/eng?i=001-57779,train,,False,Greece,gr,1992,11021.0122246,163442524062.0,9.30764966355,25.8197272307
001-57887,https://hudoc.echr.coe.int/eng?i=001-57887,train,,False,Germany,de,1992,26559.854388,2534996542110.0,10.1871937713,28.5612133889
001-57805,https://hudoc.echr.coe.int/eng?i=001-57805,train,,False,France,fr,1993,22238.8250618,1670081815760.0,10.0096398824,28.1438937326
001-57834,https://hudoc.echr.coe.int/eng?i=001-57834,train,,False,Cyprus,cy,1993,10526.1416016,11033726777.7,9.26171211543,23.1242224897
001-57820,https://hudoc.echr.coe.int/eng?i=001-57820,train,,False,Netherlands,nl,1993,23156.4404445,493847948233.0,10.0500714094,26.9254935097
001-57825,https://hudoc.echr.coe.int/eng?i=001-57825,train,,False,Austria,at,1993,23987.2037241,254046171814.0,10.085317477,26.2607818662
001-57840,https://hudoc.echr.coe.int/eng?i=001-57840,train,,False,Switzerland,ch,1993,39237.1186559,465415100022.0,10.577403968,26.8661955325
001-57844,https://hudoc.echr.coe.int/eng?i=001-57844,train,,False,Iceland,is,1993,24404.0275812,9284851739.06,10.1025444385,22.9516500639
001-57842,https://hudoc.echr.coe.int/eng?i=001-57842,train,,False,Austria,at,1993,23987.2037241,254046171814.0,10.085317477,26.2607818662
001-57839,https://hudoc.echr.coe.int/eng?i=001-57839,train,,False,France,fr,1993,22238.8250618,1670081815760.0,10.0096398824,28.1438937326
001-57829,https://hudoc.echr.coe.int/eng?i=001-57829,train,,False,Austria,at,1993,23987.2037241,254046171814.0,10.085317477,26.2607818662
001-57850,https://hudoc.echr.coe.int/eng?i=001-57850,train,,False,Netherlands,nl,1993,23156.4404445,493847948233.0,10.0500714094,26.9254935097
001-57848,https://hudoc.echr.coe.int/eng?i=001-57848,train,,False,France,fr,1993,22238.8250618,1670081815760.0,10.0096398824,28.1438937326
001-57858,https://hudoc.echr.coe.int/eng?i=001-57858,train,,False,France,fr,1993,22238.8250618,1670081815760.0,10.0096398824,28.1438937326
001-57854,https://hudoc.echr.coe.int/eng?i=001-57854,train,,False,Austria,at,1993,23987.2037241,254046171814.0,10.085317477,26.2607818662
001-57851,https://hudoc.echr.coe.int/eng?i=001-57851,train,,False,Sweden,se,1993,24389.8738124,285857909820.0,10.1019643172,26.3787607055
001-57865,https://hudoc.echr.coe.int/eng?i=001-57865,train,,False,Switzerland,ch,1994,43091.777097,471324744553.0,10.6711106773,26.8788131723
001-57867,https://hudoc.echr.coe.int/eng?i=001-57867,train,,False,Sweden,se,1994,26045.5196995,297337294168.0,10.1676394375,26.418133002
001-57878,https://hudoc.echr.coe.int/eng?i=001-57878,train,,False,Netherlands,nl,1994,24682.5866743,508471242745.0,10.1138937946,26.9546744977
001-57880,https://hudoc.echr.coe.int/eng?i=001-57880,train,,False,Germany,de,1994,27201.9593555,2575519839600.0,10.2110810462,28.5770725091
001-57900,https://hudoc.echr.coe.int/eng?i=001-57900,train,,False,Netherlands,nl,1994,24682.5866743,508471242745.0,10.1138937946,26.9546744977
001-57902,https://hudoc.echr.coe.int/eng?i=001-57902,train,,False,Netherlands,nl,1994,24682.5866743,508471242745.0,10.1138937946,26.9546744977
001-57891,https://hudoc.echr.coe.int/eng?i=001-57891,train,,False,Denmark,dk,1994,29967.8303903,220068623481.0,10.3079131335,26.1172052596
001-57904,https://hudoc.echr.coe.int/eng?i=001-57904,train,,False,Netherlands,nl,1994,24682.5866743,508471242745.0,10.1138937946,26.9546744977
001-57899,https://hudoc.echr.coe.int/eng?i=001-57899,train,,False,United Kingdom,gb,1994,19709.2380984,1869572508480.0,9.88889348015,28.2567309156
001-57901,https://hudoc.echr.coe.int/eng?i=001-57901,train,,False,United Kingdom,gb,1994,19709.2380984,1869572508480.0,9.88889348015,28.2567309156
001-57907,https://hudoc.echr.coe.int/eng?i=001-57907,train,,False,Netherlands,nl,1994,24682.5866743,508471242745.0,10.1138937946,26.9546744977
001-57909,https://hudoc.echr.coe.int/eng?i=001-57909,train,,False,Spain,es,1994,13405.7044149,781584842223.0,9.50351019028,27.3845895442
001-57910,https://hudoc.echr.coe.int/eng?i=001-57910,train,,False,Spain,es,1994,13405.7044149,781584842223.0,9.50351019028,27.3845895442
001-57913,https://hudoc.echr.coe.int/eng?i=001-57913,train,,False,Greece,gr,1994,10937.0223809,164043992269.0,9.30000029006,25.8234004743
001-57908,https://hudoc.echr.coe.int/eng?i=001-57908,train,,False,Austria,at,1994,25546.2460525,260148661735.0,10.1482848032,26.2845190805
001-57915,https://hudoc.echr.coe.int/eng?i=001-57915,train,,False,Netherlands,nl,1995,29301.1940492,524315389158.0,10.2854176744,26.9853592279
001-57916,https://hudoc.echr.coe.int/eng?i=001-57916,train,,False,Austria,at,1995,30207.0674315,267089386117.0,10.3158643012,26.3108492188
001-57925,https://hudoc.echr.coe.int/eng?i=001-57925,train,,False,France,fr,1995,26791.8151982,1749300344480.0,10.1958890409,28.1902370208
001-57930,https://hudoc.echr.coe.int/eng?i=001-57930,train,,False,Greece,gr,1995,12779.0814916,167488456016.0,9.45564310441,25.8441802665
001-57934,https://hudoc.echr.coe.int/eng?i=001-57934,train,,False,France,fr,1995,26791.8151982,1749300344480.0,10.1958890409,28.1902370208
001-57947,https://hudoc.echr.coe.int/eng?i=001-57947,train,,False,United Kingdom,gb,1995,23252.6157127,1935631814550.0,10.0542159135,28.2914549083
001-57941,https://hudoc.echr.coe.int/eng?i=001-57941,train,,False,Finland,fi,1995,26246.2743214,152674521262.0,10.1753174273,25.7515741804
001-57943,https://hudoc.echr.coe.int/eng?i=001-57943,train,,False,United Kingdom,gb,1995,23252.6157127,1935631814550.0,10.0542159135,28.2914549083
001-57944,https://hudoc.echr.coe.int/eng?i=001-57944,train,,False,Luxembourg,lu,1995,51032.3496353,30604417413.6,10.8402346124,24.1444101954
001-57945,https://hudoc.echr.coe.int/eng?i=001-57945,train,,False,Austria,at,1995,30207.0674315,267089386117.0,10.3158643012,26.3108492188
001-57948,https://hudoc.echr.coe.int/eng?i=001-57948,train,,False,Austria,at,1995,30207.0674315,267089386117.0,10.3158643012,26.3108492188
001-57958,https://hudoc.echr.coe.int/eng?i=001-57958,train,,False,Austria,at,1995,30207.0674315,267089386117.0,10.3158643012,26.3108492188
001-57960,https://hudoc.echr.coe.int/eng?i=001-57960,train,,False,Austria,at,1995,30207.0674315,267089386117.0,10.3158643012,26.3108492188
001-57962,https://hudoc.echr.coe.int/eng?i=001-57962,train,,False,Austria,at,1995,30207.0674315,267089386117.0,10.3158643012,26.3108492188
001-57963,https://hudoc.echr.coe.int/eng?i=001-57963,train,,False,Austria,at,1995,30207.0674315,267089386117.0,10.3158643012,26.3108492188
001-57980,https://hudoc.echr.coe.int/eng?i=001-57980,train,,False,United Kingdom,gb,1996,24503.3829603,1986246961910.0,10.1066072769,28.3172680252
001-57970,https://hudoc.echr.coe.int/eng?i=001-57970,train,,False,Norway,no,1996,37321.9741993,267287258415.0,10.5273643463,26.3115897912
001-57978,https://hudoc.echr.coe.int/eng?i=001-57978,train,,False,Portugal,pt,1996,12185.0914011,164086378008.0,9.40805053128,25.8236588213
001-57985,https://hudoc.echr.coe.int/eng?i=001-57985,train,,False,Belgium,be,1996,27489.555177,323617566813.0,10.2215977766,26.5028283062
001-57976,https://hudoc.echr.coe.int/eng?i=001-57976,train,,False,United Kingdom,gb,1996,24503.3829603,1986246961910.0,10.1066072769,28.3172680252
001-57984,https://hudoc.echr.coe.int/eng?i=001-57984,train,,False,United Kingdom,gb,1996,24503.3829603,1986246961910.0,10.1066072769,28.3172680252
001-57974,https://hudoc.echr.coe.int/eng?i=001-57974,train,,False,United Kingdom,gb,1996,24503.3829603,1986246961910.0,10.1066072769,28.3172680252
001-57983,https://hudoc.echr.coe.int/eng?i=001-57983,train,,False,France,fr,1996,26757.6351494,1773739467490.0,10.1946125096,28.2041111274
001-57990,https://hudoc.echr.coe.int/eng?i=001-57990,train,,False,United Kingdom,gb,1996,24503.3829603,1986246961910.0,10.1066072769,28.3172680252
001-57988,https://hudoc.echr.coe.int/eng?i=001-57988,train,,False,France,fr,1996,26757.6351494,1773739467490.0,10.1946125096,28.2041111274
001-57997,https://hudoc.echr.coe.int/eng?i=001-57997,train,,False,Italy,it,1996,23122.9337219,1694189587390.0,10.048623452,28.1582256229
001-58060,https://hudoc.echr.coe.int/eng?i=001-58060,train,,False,Austria,at,1996,29645.9451251,273007464944.0,10.2971143679,26.3327649759
001-58071,https://hudoc.echr.coe.int/eng?i=001-58071,train,,False,Greece,gr,1996,13432.5262183,169803934634.0,9.50550881785,25.8579102827
001-58004,https://hudoc.echr.coe.int/eng?i=001-58004,train,,False,United Kingdom,gb,1996,24503.3829603,1986246961910.0,10.1066072769,28.3172680252
001-58072,https://hudoc.echr.coe.int/eng?i=001-58072,train,,False,Italy,it,1996,23122.9337219,1694189587390.0,10.048623452,28.1582256229
001-58073,https://hudoc.echr.coe.int/eng?i=001-58073,train,,False,Italy,it,1996,23122.9337219,1694189587390.0,10.048623452,28.1582256229
001-58001,https://hudoc.echr.coe.int/eng?i=001-58001,train,,False,Austria,at,1996,29645.9451251,273007464944.0,10.2971143679,26.3327649759
001-58009,https://hudoc.echr.coe.int/eng?i=001-58009,train,,False,United Kingdom,gb,1996,24503.3829603,1986246961910.0,10.1066072769,28.3172680252
001-58082,https://hudoc.echr.coe.int/eng?i=001-58082,train,,False,Netherlands,nl,1996,29063.6236533,542250002540.0,10.2772770316,27.0189929913
001-58083,https://hudoc.echr.coe.int/eng?i=001-58083,train,,False,France,fr,1996,26757.6351494,1773739467490.0,10.1946125096,28.2041111274
001-58010,https://hudoc.echr.coe.int/eng?i=001-58010,train,,False,Spain,es,1996,16100.6215831,824078081164.0,9.68667526535,27.4375311211
001-58011,https://hudoc.echr.coe.int/eng?i=001-58011,train,,False,Greece,gr,1996,13432.5262183,169803934634.0,9.50550881785,25.8579102827
001-58024,https://hudoc.echr.coe.int/eng?i=001-58024,train,,False,Austria,at,1997,26571.7523627,278865754831.0,10.1876416225,26.3539963375
001-58199,https://hudoc.echr.coe.int/eng?i=001-58199,train,,False,Switzerland,ch,1997,41584.4417822,486583036191.0,10.6355054278,26.9106734048
001-58031,https://hudoc.echr.coe.int/eng?i=001-58031,train,,False,Netherlands,nl,1997,26744.9601318,565287382970.0,10.1941387178,27.0606000812
001-58016,https://hudoc.echr.coe.int/eng?i=001-58016,train,,False,United Kingdom,gb,1997,26910.138153,2083175521750.0,10.2002955376,28.3649145386
001-58017,https://hudoc.echr.coe.int/eng?i=001-58017,train,,False,France,fr,1997,24169.4008103,1818562957060.0,10.0928840565,28.2290677211
001-58023,https://hudoc.echr.coe.int/eng?i=001-58023,train,,False,France,fr,1997,24169.4008103,1818562957060.0,10.0928840565,28.2290677211
001-58035,https://hudoc.echr.coe.int/eng?i=001-58035,train,,False,United Kingdom,gb,1997,26910.138153,2083175521750.0,10.2002955376,28.3649145386
001-58037,https://hudoc.echr.coe.int/eng?i=001-58037,train,,False,Greece,gr,1997,13015.9175047,175921772179.0,9.47400513694,25.8933052569
001-58039,https://hudoc.echr.coe.int/eng?i=001-58039,train,,False,United Kingdom,gb,1997,26910.138153,2083175521750.0,10.2002955376,28.3649145386
001-58044,https://hudoc.echr.coe.int/eng?i=001-58044,train,,False,Austria,at,1997,26571.7523627,278865754831.0,10.1876416225,26.3539963375
001-58085,https://hudoc.echr.coe.int/eng?i=001-58085,train,,False,Netherlands,nl,1997,26744.9601318,565287382970.0,10.1941387178,27.0606000812
001-58178,https://hudoc.echr.coe.int/eng?i=001-58178,train,,False,Switzerland,ch,1997,41584.4417822,486583036191.0,10.6355054278,26.9106734048
001-58179,https://hudoc.echr.coe.int/eng?i=001-58179,train,,False,Switzerland,ch,1997,41584.4417822,486583036191.0,10.6355054278,26.9106734048
001-58095,https://hudoc.echr.coe.int/eng?i=001-58095,train,,False,United Kingdom,gb,1997,26910.138153,2083175521750.0,10.2002955376,28.3649145386
001-58096,https://hudoc.echr.coe.int/eng?i=001-58096,train,,False,Greece,gr,1997,13015.9175047,175921772179.0,9.47400513694,25.8933052569
001-58097,https://hudoc.echr.coe.int/eng?i=001-58097,train,,False,United Kingdom,gb,1997,26910.138153,2083175521750.0,10.2002955376,28.3649145386
001-58098,https://hudoc.echr.coe.int/eng?i=001-58098,train,,False,France,fr,1997,24169.4008103,1818562957060.0,10.0928840565,28.2290677211
001-58104,https://hudoc.echr.coe.int/eng?i=001-58104,train,,False,Austria,at,1997,26571.7523627,278865754831.0,10.1876416225,26.3539963375
001-58113,https://hudoc.echr.coe.int/eng?i=001-58113,train,,False,Austria,at,1997,26571.7523627,278865754831.0,10.1876416225,26.3539963375
001-58114,https://hudoc.echr.coe.int/eng?i=001-58114,train,,False,Austria,at,1997,26571.7523627,278865754831.0,10.1876416225,26.3539963375
001-58116,https://hudoc.echr.coe.int/eng?i=001-58116,train,,False,Greece,gr,1997,13015.9175047,175921772179.0,9.47400513694,25.8933052569
001-58119,https://hudoc.echr.coe.int/eng?i=001-58119,train,,False,Germany,de,1997,27046.9565464,2690394576520.0,10.2053667379,28.6207089815
001-58120,https://hudoc.echr.coe.int/eng?i=001-58120,train,,False,Turkey,tr,1997,4197.37636166,391585682739.0,8.34245314897,26.693470186
001-58124,https://hudoc.echr.coe.int/eng?i=001-58124,train,,False,Greece,gr,1997,13015.9175047,175921772179.0,9.47400513694,25.8933052569
001-58125,https://hudoc.echr.coe.int/eng?i=001-58125,train,,False,Switzerland,ch,1997,41584.4417822,486583036191.0,10.6355054278,26.9106734048
001-58128,https://hudoc.echr.coe.int/eng?i=001-58128,train,,False,Turkey,tr,1998,4331.02761275,399059372123.0,8.37379098224,26.7123760451
001-58129,https://hudoc.echr.coe.int/eng?i=001-58129,train,,False,France,fr,1998,24869.4030796,1881350558840.0,10.1214337441,28.2630110172
001-58134,https://hudoc.echr.coe.int/eng?i=001-58134,train,,False,United Kingdom,gb,1998,28396.3523548,2150801957620.0,10.2540511929,28.3968618921
001-58144,https://hudoc.echr.coe.int/eng?i=001-58144,train,,False,Switzerland,ch,1998,42680.5867322,501326352837.0,10.6615228821,26.9405231288
001-58145,https://hudoc.echr.coe.int/eng?i=001-58145,train,,False,Poland,pl,1998,4533.53565518,258431144714.0,8.41947796595,26.2778951307
001-58147,https://hudoc.echr.coe.int/eng?i=001-58147,train,,False,Netherlands,nl,1998,27924.281809,591560723040.0,10.2372877155,27.1060301745
001-58148,https://hudoc.echr.coe.int/eng?i=001-58148,train,,False,Netherlands,nl,1998,27924.281809,591560723040.0,10.2372877155,27.1060301745
001-58149,https://hudoc.echr.coe.int/eng?i=001-58149,train,,False,France,fr,1998,24869.4030796,1881350558840.0,10.1214337441,28.2630110172
001-58154,https://hudoc.echr.coe.int/eng?i=001-58154,train,,False,Portugal,pt,1998,12199.206385,179544008822.0,9.40920814738,25.9136861893
001-58166,https://hudoc.echr.coe.int/eng?i=001-58166,train,,False,France,fr,1998,24869.4030796,1881350558840.0,10.1214337441,28.2630110172
001-58205,https://hudoc.echr.coe.int/eng?i=001-58205,train,,False,Greece,gr,1998,13022.9648775,181968090541.0,9.47454639149,25.927097182
