itemid,y_amount_eur,y_binary
001-60034,15250.0,1
001-60035,7000.0,1
001-60112,6000.0,1
001-60157,0.0,0
001-60163,15000.0,1
001-60164,6000.0,1
001-60168,0.0,0
001-60170,0.0,0
001-60171,0.0,0
001-60172,0.0,0
001-60173,0.0,0
001-60174,10000.0,1
001-60323,32212.0,1
001-60324,300.0,1
001-60325,0.0,0
001-60309,0.0,0
001-60333,5042.0,1
001-60335,3000.0,1
001-60337,21700.0,1
001-60344,5700.0,1
001-60395,0.0,0
001-60416,30000.0,1
001-60420,5500.0,1
001-60423,6000.0,1
001-60424,2900.0,1
001-60428,5569.0,1
001-60431,15000.0,1
001-60441,6000.0,1
001-60442,61000.0,1
001-60449,3000.0,1
001-60451,149000.0,1
001-60452,3000.0,1
001-60457,5000.0,1
001-60471,6500.0,1
001-60483,5000.0,1
001-60484,12610.4,1
001-60486,0.0,0
001-60487,0.0,0
001-60492,0.0,0
001-60494,1000.0,1
001-60499,0.0,0
001-60505,19050.0,1
001-60509,45900.0,1
001-60510,133000.0,1
001-60511,0.0,0
001-60512,5000.0,1
001-60513,1830.0,1
001-60516,4400.0,1
001-60521,4000.0,1
001-60522,17000.0,1
001-60532,0.0,0
001-60537,0.0,0
001-60554,7730.0,1
001-60557,15000.0,1
001-60558,10000.0,1
001-60559,0.0,0
001-60568,10000.0,1
001-60579,11000.0,1
001-60595,0.0,0
001-60596,0.0,0
001-60597,2000.0,1
001-60599,4937.0,1
001-60600,9000.0,1
001-60602,0.0,0
001-60605,0.0,0
001-60606,5000.0,1
001-60608,0.0,0
001-60610,24000.0,1
001-60612,0.0,0
001-60613,4500.0,1
001-60614,15590.0,1
001-60627,20000.0,1
001-60628,15000.0,1
001-60633,0.0,0
001-60638,0.0,0
001-60642,4000.0,1
001-60643,0.0,0
001-60644,16000.0,1
001-60649,0.0,0
001-60653,6000.0,1
001-60662,4000.0,1
001-60668,0.0,0
001-60672,0.0,0
001-60673,10000.0,1
001-60676,3000.0,1
001-60681,5000.0,1
001-60687,0.0,0
001-60688,0.0,0
001-60690,0.0,0
001-60694,4000.0,1
001-60695,60600.0,1
001-60696,0.0,0
001-60697,90900.0,1
001-60703,0.0,0
001-60713,1642.0,1
001-60714,1700.0,1
001-60715,0.0,0
001-60717,10000.0,1
001-60718,5000.0,1
001-60720,0.0,0
001-60725,0.0,0
001-60738,12300.0,1
001-60739,0.0,0
001-60733,1500.0,1
001-60735,0.0,0
001-60736,0.0,0
001-60747,3500.0,1
001-60748,1000.0,1
001-60749,0.0,0
001-60750,0.0,0
001-60732,15000.0,1
001-60751,6000.0,1
001-60752,4000.0,1
001-60753,5000.0,1
001-60754,3000.0,1
001-60755,10000.0,1
001-60756,2500.0,1
001-60757,8000.0,1
001-60758,3000.0,1
001-60759,9000.0,1
001-60760,6000.0,1
001-60762,0.0,0
001-60763,6000.0,1
001-60775,0.0,0
001-60793,500.0,1
001-60791,10000.0,1
001-60803,5000.0,1
001-60804,5000.0,1
001-60807,2500.0,1
001-60814,2500.0,1
001-60823,5000.0,1
001-60824,15000.0,1
001-60835,8000.0,1
001-60836,5000.0,1
001-60837,18000.0,1
001-60838,0.0,0
001-60839,6000.0,1
001-60840,3000.0,1
001-60841,3000.0,1
001-60842,0.0,0
001-60843,0.0,0
001-60844,10000.0,1
001-60845,3000.0,1
001-60846,5000.0,1
001-60847,8000.0,1
001-60848,10000.0,1
001-60853,9000.0,1
001-60854,0.0,0
001-60856,3500.0,1
001-60867,6000.0,1
001-60870,6000.0,1
001-60871,15000.0,1
001-60875,4000.0,1
001-60876,30000.0,1
001-60877,5000.0,1
001-60878,5000.0,1
001-60879,1500.0,1
001-60883,4000.0,1
001-60885,8000.0,1
001-60886,5000.0,1
001-60889,5000.0,1
001-60891,2000.0,1
001-60898,11800.0,1
001-60912,2000.0,1
001-60913,8000.0,1
001-60915,3000.0,1
001-60916,453.78,1
001-60917,0.0,0
001-60919,7000.0,1
001-60924,0.0,0
001-60925,8000.0,1
001-60926,8000.0,1
001-60931,0.0,0
001-60932,5000.0,1
001-60934,20000.0,1
001-60939,5000.0,1
001-60940,0.0,0
001-60941,17000.0,1
001-60953,15000.0,1
001-60954,2000.0,1
001-60944,8000.0,1
001-60945,4000.0,1
001-60958,8000.0,1
001-60963,0.0,0
001-60965,1000.0,1
001-60967,500.0,1
001-60971,6000.0,1
001-60975,9000.0,1
001-60979,0.0,0
001-60982,10000.0,1
001-60983,10000.0,1
001-60988,3000.0,1
001-60989,10000.0,1
001-60990,6000.0,1
001-60991,3000.0,1
001-60992,3000.0,1
001-60993,5000.0,1
001-60994,10000.0,1
001-60995,0.0,0
001-60996,13000.0,1
001-61001,16000.0,1
001-61002,0.0,0
001-61003,3500.0,1
001-61007,4000.0,1
001-61017,0.0,0
001-61028,5000.0,1
001-61029,9000.0,1
001-61030,6197.48,1
001-61031,3000.0,1
001-61032,3000.0,1
001-61033,3000.0,1
001-61034,10000.0,1
001-61036,27000.0,1
001-61053,0.0,0
001-61054,20000.0,1
001-61055,62000.0,1
001-61058,19100.0,1
001-61059,2000.0,1
001-61060,2000.0,1
001-61061,2000.0,1
001-61062,2000.0,1
001-61063,2000.0,1
001-61069,20000.0,1
001-61587,2000.0,1
001-61078,3000.0,1
001-61087,6250.0,1
001-61088,4000.0,1
001-61089,14500.0,1
001-61090,0.0,0
001-61091,20000.0,1
001-61094,3000.0,1
001-61095,3000.0,1
001-61096,3000.0,1
001-61099,30000.0,1
001-61100,0.0,0
001-61104,3700.0,1
001-61105,0.0,0
001-61116,6500.0,1
001-61129,15250.0,1
001-61131,12000.0,1
001-61134,0.0,0
001-61135,0.0,0
001-61142,15000.0,1
001-61139,3600.0,1
001-61141,4000.0,1
001-61143,6000.0,1
001-61144,4000.0,1
001-61145,2000.0,1
001-61149,2000.0,1
001-61150,2500.0,1
001-61167,0.0,0
001-61169,0.0,0
001-61172,2500.0,1
001-61174,0.0,0
001-61184,20000.0,1
001-61177,6000.0,1
001-61178,2000.0,1
001-61185,0.0,0
001-61188,0.0,0
001-61195,20000.0,1
001-61210,0.0,0
001-61211,8000.0,1
001-61212,6500.0,1
001-61213,8000.0,1
001-61222,5000.0,1
001-61223,5000.0,1
001-61224,3000.0,1
001-61225,6000.0,1
001-61226,6000.0,1
001-61227,2800.0,1
001-61228,1500.0,1
001-61229,6000.0,1
001-61231,31000.0,1
001-61246,0.0,0
001-61247,4000.0,1
001-61261,0.0,0
001-61262,5500.0,1
001-61263,0.0,0
001-61264,14500.0,1
001-61253,2000.0,1
001-61254,2500.0,1
001-61273,3000.0,1
001-61274,4000.0,1
001-61275,4000.0,1
001-61276,2000.0,1
001-61277,25000.0,1
001-61279,3000.0,1
001-61280,1106.69,1
001-61281,3000.0,1
001-61282,5000.0,1
001-61283,12000.0,1
001-61284,15493.7,1
001-61285,9296.22,1
001-61286,6000.0,1
001-61287,3000.0,1
001-61288,3000.0,1
001-61289,0.0,0
001-61290,5000.0,1
001-61291,0.0,0
001-61294,15000.0,1
001-61313,2000.0,1
001-61317,0.0,0
001-61322,7000.0,1
001-61323,6000.0,1
001-61324,6000.0,1
001-61325,4000.0,1
001-61332,1500.0,1
001-61333,0.0,0
001-61334,20000.0,1
001-61338,3000.0,1
001-61339,6000.0,1
001-61340,18000.0,1
001-61341,3000.0,1
001-61342,6000.0,1
001-61343,7000.0,1
001-61344,4000.0,1
001-61356,1500.0,1
001-61357,2500.0,1
001-61358,1000.0,1
001-61359,1000.0,1
001-61362,4800.0,1
001-61363,6000.0,1
001-61365,5000.0,1
001-61366,5000.0,1
001-61371,3000.0,1
001-61372,3000.0,1
001-61373,3000.0,1
001-61374,6000.0,1
001-61375,3000.0,1
001-61376,0.0,0
001-61378,24000.0,1
001-61381,0.0,0
001-61382,1000.0,1
001-61383,35000.0,1
001-61384,0.0,0
001-61410,0.0,0
001-61414,3000.0,1
001-61415,2000.0,1
001-61416,6000.0,1
001-61417,9000.0,1
001-61418,6000.0,1
001-61421,0.0,0
001-61423,0.0,0
001-61424,5500.0,1
001-61425,7000.0,1
001-61434,9000.0,1
001-61436,0.0,0
001-61437,7000.0,1
001-61440,3000.0,1
001-61443,2000.0,1
001-61452,3000.0,1
001-61453,11000.0,1
001-61454,0.0,0
001-61469,6000.0,1
001-61478,0.0,0
001-61480,0.0,0
001-61481,3000.0,1
001-61482,2000.0,1
001-61484,3700.0,1
001-61490,3000.0,1
001-61493,3000.0,1
001-61495,3000.0,1
001-61501,3000.0,1
001-61502,3000.0,1
001-61503,3000.0,1
001-61504,0.0,0
001-61509,3000.0,1
001-61521,8000.0,1
001-61522,5000.0,1
001-61527,8000.0,1
001-61532,3000.0,1
001-61535,0.0,0
001-61536,4000.0,1
001-61539,8000.0,1
001-61540,5500.0,1
001-61541,6000.0,1
001-61542,4500.0,1
001-61546,10000.0,1
001-61547,4700.0,1
001-61548,10000.0,1
001-61550,0.0,0
001-61555,0.0,0
001-61556,0.0,0
001-61560,72500.0,1
001-61561,5000.0,1
001-61562,24000.0,1
001-61563,2500.0,1
001-61564,0.0,0
001-61569,6500.0,1
001-61583,2000.0,1
001-61584,0.0,0
001-61585,7000.0,1
001-61586,2000.0,1
001-61588,3000.0,1
001-61589,5500.0,1
001-61597,3000.0,1
001-61601,4000.0,1
001-61604,3000.0,1
001-61606,3000.0,1
001-61610,3000.0,1
001-61619,10000.0,1
001-61621,4000.0,1
001-61622,10000.0,1
001-61628,3000.0,1
001-61631,5000.0,1
001-61636,28000.0,1
001-61638,10000.0,1
001-61643,4300.0,1
001-61644,3500.0,1
001-61646,15000.0,1
001-61647,5000.0,1
001-61648,40000.0,1
001-61651,6600.0,1
001-61652,2000.0,1
001-61653,5000.0,1
001-61654,9000.0,1
001-61659,0.0,0
001-61663,10000.0,1
001-61668,5164.56,1
001-61670,3000.0,1
001-61671,3000.0,1
001-61672,5000.0,1
001-61673,10000.0,1
001-61674,2000.0,1
001-61678,15000.0,1
001-61679,1500.0,1
001-61682,3500.0,1
001-61683,9000.0,1
001-61684,7500.0,1
001-61685,2500.0,1
001-61687,0.0,0
001-61691,1500.0,1
001-61693,20000.0,1
001-61696,603100.0,1
001-61698,10000.0,1
001-61699,2500.0,1
001-61700,4000.0,1
001-61703,25000.0,1
001-61704,35000.0,1
001-61711,16000.0,1
001-61712,0.0,0
001-61716,0.0,0
001-61736,2500.0,1
001-61737,2400.0,1
001-61738,8000.0,1
001-61741,3300.0,1
001-61743,4700.0,1
001-61744,2200.0,1
001-61746,6200.0,1
001-61747,0.0,0
001-61751,2400.0,1
001-61754,6000.0,1
001-61755,1500.0,1
001-61757,3000.0,1
001-61759,8000.0,1
001-61760,0.0,0
001-61762,0.0,0
001-61763,3500.0,1
001-61767,0.0,0
001-61773,1800.0,1
001-61775,5000.0,1
001-61794,2000.0,1
001-61795,14000.0,1
001-61796,14500.0,1
001-61797,5000.0,1
001-61798,0.0,0
001-61799,5000.0,1
001-61807,5000.0,1
001-61813,0.0,0
001-61814,0.0,0
001-61815,0.0,0
001-61816,0.0,0
001-61819,6000.0,1
001-61822,4500.0,1
001-61827,10000.0,1
001-61832,0.0,0
001-61833,0.0,0
001-61834,0.0,0
001-61835,0.0,0
001-61836,2500.0,1
001-61837,22000.0,1
001-61846,0.0,0
001-61855,2000.0,1
001-61856,4000.0,1
001-61876,2800.0,1
001-61877,3000.0,1
001-61879,8000.0,1
001-61886,720000.0,1
001-61888,3200.0,1
001-61889,2500.0,1
001-61891,3500.0,1
001-61892,7200.0,1
001-61901,0.0,0
001-61921,3600.0,1
001-61922,4000.0,1
001-61923,10000.0,1
001-61924,12000.0,1
001-61925,4500.0,1
001-61926,1000.0,1
001-61927,800.0,1
001-61930,1000.0,1
001-61931,10000.0,1
001-61935,3500.0,1
001-61940,0.0,0
001-61941,15000.0,1
001-61942,14000.0,1
001-61946,3000.0,1
001-61947,6600.0,1
001-61957,3500.0,1
001-61961,8000.0,1
001-61962,0.0,0
001-61963,35000.0,1
001-66541,800.0,1
001-66562,13000.0,1
001-66638,10000.0,1
001-66640,2800.0,1
001-66646,4000.0,1
001-66648,7000.0,1
001-66650,10000.0,1
001-66652,3600.0,1
001-66684,9000.0,1
001-66687,2500.0,1
001-66699,6000.0,1
001-66720,5000.0,1
001-66729,6000.0,1
001-66732,3000.0,1
001-66734,5000.0,1
001-66736,3600.0,1
001-66743,8000.0,1
001-66745,8500.0,1
001-66747,5000.0,1
001-66782,0.0,0
001-66784,2500.0,1
001-66790,500.0,1
001-66792,4000.0,1
001-66794,3500.0,1
001-66796,9000.0,1
001-66757,0.0,0
001-66817,10000.0,1
001-66819,3500.0,1
001-66824,6000.0,1
001-66831,5000.0,1
001-66835,4500.0,1
001-66837,6500.0,1
001-66839,3300.0,1
001-66841,6000.0,1
001-66843,3000.0,1
001-66927,0.0,0
001-66929,0.0,0
001-66931,9000.0,1
001-67085,0.0,0
001-67087,0.0,0
001-67089,3000.0,1
001-67103,7500.0,1
001-67105,4000.0,1
001-67110,5500.0,1
001-67150,35000.0,1
001-67155,5000.0,1
001-67167,4000.0,1
001-67194,15000.0,1
001-67198,4500.0,1
001-67200,0.0,0
001-67204,1600.0,1
001-67206,3000.0,1
001-67226,0.0,0
001-67238,1000.0,1
001-67270,0.0,0
001-67274,3500.0,1
001-67228,17700.0,1
001-67235,2500.0,1
001-67239,9000.0,1
001-67243,0.0,0
001-67248,5000.0,1
001-67252,26000.0,1
001-67340,16800.0,1
001-67344,0.0,0
001-67346,14500.0,1
001-67348,2400.0,1
001-67350,3000.0,1
001-67352,5000.0,1
001-67354,7000.0,1
001-67357,0.0,0
001-67359,1800.0,1
001-67392,5000.0,1
001-67401,3000.0,1
001-67418,0.0,0
001-67420,7300.0,1
001-67424,4600.0,1
001-67427,5164.57,1
001-67432,11750.0,1
001-67434,10900.0,1
001-67436,13400.0,1
001-67457,0.0,0
001-67462,500.0,1
001-67466,8000.0,1
001-67468,0.0,0
001-67470,4000.0,1
001-67472,0.0,0
001-67475,5000.0,1
001-67478,3884.0,1
001-67482,0.0,0
001-67506,0.0,0
001-67521,3600.0,1
001-67538,6000.0,1
001-67578,1200.0,1
001-67580,26720.0,1
001-67582,12000.0,1
001-67584,5000.0,1
001-67649,1600.0,1
001-67713,2500.0,1
001-67795,5000.0,1
001-67816,0.0,0
001-67745,4000.0,1
001-67756,0.0,0
001-67760,0.0,0
001-67762,8000.0,1
001-67765,5000.0,1
001-67768,3800.0,1
001-67875,9000.0,1
001-67897,4000.0,1
001-67906,6000.0,1
001-67915,1520.0,1
001-67917,2000.0,1
001-67930,0.0,0
001-67948,1600.0,1
001-67950,1600.0,1
001-67961,0.0,0
001-67980,3000.0,1
001-67982,2000.0,1
001-67984,60000.0,1
001-67988,5000.0,1
001-67990,11485.5,1
001-67992,3000.0,1
001-68067,3000.0,1
001-68077,12000.0,1
001-68084,2000.0,1
001-68097,0.0,0
001-68098,0.0,0
001-68110,7000.0,1
001-68112,0.0,0
001-68114,0.0,0
001-68116,4000.0,1
001-68119,0.0,0
001-68152,0.0,0
001-68158,17500.0,1
001-68166,0.0,0
001-68175,0.0,0
001-68148,4000.0,1
001-68178,1000.0,1
001-68226,1500.0,1
001-68224,35000.0,1
001-68229,3000.0,1
001-68231,0.0,0
001-68234,4000.0,1
001-68366,0.0,0
001-68368,3000.0,1
001-68379,45000.0,1
001-68381,0.0,0
001-68393,5000.0,1
001-68394,1000.0,1
001-68398,0.0,0
001-68407,3000.0,1
001-68409,2500.0,1
001-68412,3000.0,1
001-68413,3000.0,1
001-68415,4200.0,1
001-68419,35000.0,1
001-68423,9000.0,1
001-78989,4600.0,1
001-68504,2000.0,1
001-68506,0.0,0
001-68509,0.0,0
001-68512,0.0,0
001-68516,1000.0,1
001-68541,10000.0,1
001-68548,10000.0,1
001-68562,1800.0,1
001-68578,3000.0,1
001-68580,2000.0,1
001-68582,5000.0,1
001-68601,81000.0,1
001-68608,3000.0,1
001-68616,9000.0,1
