article,country_alpha2,sample_count,positive_count,zero_count,zero_rate,median_positive_or_all,iqr_positive_or_all,p10_positive_or_all,p90_positive_or_all,median_all,p10_all,p90_all,zero_reason_count,amount_direct_count,proxy_keep72_count
13,CY,8,6,2,0.25,7000.0,10635.75,3500.0,16804.5,4000.0,0.0,16555.1,2,6,0
13,CZ,4,3,1,0.25,5000.0,2250.0,4600.0,8200.0,4750.0,1350.0,7800.0,1,3,0
13,DE,17,14,3,0.176471,6500.0,5487.5,2300.0,10000.0,5200.0,0.0,10000.0,3,14,0
13,DK,2,2,0,0.0,10000.0,6000.0,5200.0,14800.0,10000.0,5200.0,14800.0,0,2,0
13,EE,8,8,0,0.0,2700.0,3850.0,870.0,21250.0,2700.0,870.0,21250.0,0,8,0
13,ES,1,1,0,0.0,10000.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,1,0
13,FI,7,7,0,0.0,5000.0,4500.0,3600.0,13500.0,5000.0,3600.0,13500.0,0,7,0
13,FR,4,1,3,0.75,3000.0,0.0,3000.0,3000.0,0.0,0.0,2100.0,3,1,0
13,GB,30,18,12,0.4,10000.0,10725.0,1892.6,49818.4,4221.6,0.0,32145.4,12,18,0
13,GE,3,2,1,0.333333,40750.0,39750.0,8950.0,72550.0,1000.0,200.0,64600.0,1,2,0
13,GR,26,25,1,0.038462,8500.0,25800.0,3000.0,84840.0,7250.0,2750.0,83550.0,1,25,0
13,HR,28,22,6,0.214286,3000.0,1815.0,1520.0,9700.0,2629.3,0.0,7900.0,6,22,0
13,HU,46,26,20,0.434783,12000.0,129575.0,2025.0,157700.0,2025.0,0.0,147950.0,20,26,0
13,IE,6,6,0,0.0,8000.0,15125.0,5250.0,27500.0,8000.0,5250.0,27500.0,0,6,0
13,IT,7,3,4,0.571429,15000.0,11250.0,9000.0,27000.0,0.0,0.0,21000.0,4,3,0
13,LI,2,2,0,0.0,6120.5,120.5,6024.1,6216.9,6120.5,6024.1,6216.9,0,2,0
13,LT,6,5,1,0.166667,7000.0,18000.0,2620.0,68800.0,5500.0,850.0,61000.0,1,5,0
13,LV,3,3,0,0.0,9200.0,5600.0,2240.0,11200.0,9200.0,2240.0,11200.0,0,3,0
13,MD,48,47,1,0.020833,5700.0,7000.0,1000.0,22000.0,5350.0,940.0,21500.0,1,47,0
13,ME,5,5,0,0.0,5000.0,2380.0,2148.0,6400.0,5000.0,2148.0,6400.0,0,5,0
13,MK,10,9,1,0.1,5300.0,6800.0,1580.0,28000.0,3850.0,1350.0,24000.0,1,9,0
13,MT,6,3,3,0.5,5000.0,2800.0,2920.0,7400.0,1200.0,0.0,6500.0,3,3,0
13,NL,2,1,1,0.5,3500.0,0.0,3500.0,3500.0,1750.0,350.0,3150.0,1,1,0
13,PL,15,14,1,0.066667,8459.95,5650.0,5000.0,73900.0,7719.9,2600.0,65200.0,1,14,0
13,PT,15,15,0,0.0,4550.0,9880.0,2600.0,15470.0,4550.0,2600.0,15470.0,0,15,0
13,RO,9,7,2,0.222222,8000.0,17633.775,5510.0,61000.0,7622.45,0.0,48000.0,2,7,0
13,RS,16,14,2,0.125,3250.0,3650.0,1320.0,8950.0,2700.0,600.0,8250.0,2,14,0
13,RU,457,369,88,0.19256,35000.0,56000.0,3500.0,161000.0,35000.0,0.0,120000.0,87,369,1
13,SE,3,1,2,0.666667,27000.0,0.0,27000.0,27000.0,0.0,0.0,21600.0,2,1,0
13,SI,219,210,9,0.041096,3200.0,3600.0,1200.0,8000.0,3200.0,1000.0,8000.0,9,210,0
13,SK,34,31,3,0.088235,5500.0,4050.0,2000.0,10000.0,4650.0,1150.0,9400.0,3,31,0
13,TR,134,120,14,0.104478,15000.0,23812.5,4000.0,73050.0,14500.0,150.0,66229.2,14,120,0
13,UA,224,136,88,0.392857,2800.0,5625.0,1000.0,11150.0,1550.0,0.0,10000.0,88,133,3
14,AM,1,1,0,0.0,25000.0,0.0,25000.0,25000.0,25000.0,25000.0,25000.0,0,1,0
14,AT,21,14,7,0.333333,10000.0,21250.0,4300.0,35000.0,5000.0,0.0,35000.0,7,14,0
14,BA,4,1,3,0.75,5000.0,0.0,5000.0,5000.0,0.0,0.0,3500.0,3,1,0
14,BE,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
14,BG,5,5,0,0.0,15000.0,15000.0,4400.0,32000.0,15000.0,4400.0,32000.0,0,5,0
14,CH,4,0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0
14,CY,3,2,1,0.333333,4583.15,583.15,4116.63,5049.67,4000.0,800.0,4933.04,1,2,0
14,CZ,1,1,0,0.0,4000.0,0.0,4000.0,4000.0,4000.0,4000.0,4000.0,0,1,0
14,DE,10,5,5,0.5,20000.0,12782.29,8712.92,27098.466,3000.0,0.0,25820.236,5,5,0
14,DK,1,1,0,0.0,6000.0,0.0,6000.0,6000.0,6000.0,6000.0,6000.0,0,1,0
14,ES,3,2,1,0.333333,23000.0,7000.0,17400.0,28600.0,16000.0,3200.0,27200.0,1,2,0
14,FR,6,5,1,0.166667,6000.0,5426.53,3658.776,10000.0,5286.735,1524.49,10000.0,1,5,0
14,GB,39,4,35,0.897436,7250.0,3625.0,3900.0,9550.0,0.0,0.0,600.0,35,4,0
14,GE,3,3,0,0.0,1500.0,16575.0,580.0,27100.0,1500.0,580.0,27100.0,0,3,0
14,GR,9,8,1,0.111111,13970.0,12000.0,5900.0,33800.0,10000.0,800.0,29200.0,1,8,0
14,HR,6,6,0,0.0,8500.0,2500.0,6000.0,11250.0,8500.0,6000.0,11250.0,0,6,0
14,HU,4,3,1,0.25,10000.0,5500.0,3200.0,12000.0,5750.0,450.0,11750.0,1,3,0
14,IT,2,1,1,0.5,10000.0,0.0,10000.0,10000.0,5000.0,1000.0,9000.0,1,1,0
14,LT,5,4,1,0.2,8000.0,5000.0,6000.0,12800.0,6000.0,2400.0,12400.0,1,4,0
14,LV,2,2,0,0.0,4000.0,1000.0,3200.0,4800.0,4000.0,3200.0,4800.0,0,2,0
14,MD,3,3,0,0.0,15000.0,3875.0,8800.0,15000.0,15000.0,8800.0,15000.0,0,3,0
14,ME,1,1,0,0.0,6000.0,0.0,6000.0,6000.0,6000.0,6000.0,6000.0,0,1,0
14,MT,3,2,1,0.333333,4000.0,1000.0,3200.0,4800.0,3000.0,600.0,4600.0,1,2,0
14,NL,2,1,1,0.5,3063.02,0.0,3063.02,3063.02,1531.51,306.302,2756.718,1,1,0
14,PL,3,0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
14,PT,2,1,1,0.5,3250.0,0.0,3250.0,3250.0,1625.0,325.0,2925.0,1,1,0
14,RO,10,10,0,0.0,12850.0,10450.0,7800.0,61320.0,12850.0,7800.0,61320.0,0,10,0
14,RS,2,1,1,0.5,10000.0,0.0,10000.0,10000.0,5000.0,1000.0,9000.0,1,1,0
14,RU,17,15,2,0.117647,15000.0,29500.0,3800.0,75000.0,15000.0,1500.0,75000.0,2,15,0
14,SE,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
14,SI,3,3,0,0.0,5000.0,57500.0,5000.0,97000.0,5000.0,5000.0,97000.0,0,3,0
14,SK,3,3,0,0.0,9000.0,10000.0,5800.0,21800.0,9000.0,5800.0,21800.0,0,3,0
14,TR,11,7,4,0.363636,10000.0,10750.0,1500.0,22800.0,1500.0,0.0,18000.0,4,7,0
14,UA,4,4,0,0.0,15000.0,50250.0,7200.0,129900.0,15000.0,7200.0,129900.0,0,4,0
18,AZ,4,4,0,0.0,20000.0,15000.0,20000.0,62000.0,20000.0,20000.0,62000.0,0,4,0
18,GE,2,2,0,0.0,4000.0,0.0,4000.0,4000.0,4000.0,4000.0,4000.0,0,2,0
18,RU,3,2,1,0.333333,35000.0,15000.0,23000.0,47000.0,20000.0,4000.0,44000.0,1,2,0
18,TR,1,1,0,0.0,10000.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,1,0
18,UA,2,1,1,0.5,15000.0,0.0,15000.0,15000.0,7500.0,1500.0,13500.0,1,1,0
2,AL,1,1,0,0.0,12000.0,0.0,12000.0,12000.0,12000.0,12000.0,12000.0,0,1,0
2,AM,5,5,0,0.0,15000.0,35000.0,13200.0,50000.0,15000.0,13200.0,50000.0,0,5,0
2,AZ,8,6,2,0.25,20000.0,3750.0,15000.0,20000.0,17500.0,0.0,20000.0,2,6,0
2,BE,1,1,0,0.0,25000.0,0.0,25000.0,25000.0,25000.0,25000.0,25000.0,0,1,0
2,BG,21,20,1,0.047619,20000.0,14188.775,14300.0,50000.0,20000.0,8000.0,50000.0,1,20,0
2,CY,4,4,0,0.0,9250.0,9500.0,8500.0,32400.0,9250.0,8500.0,32400.0,0,4,0
2,CZ,1,1,0,0.0,20000.0,0.0,20000.0,20000.0,20000.0,20000.0,20000.0,0,1,0
2,FR,2,1,1,0.5,30000.0,0.0,30000.0,30000.0,15000.0,3000.0,27000.0,1,1,0
2,GB,18,15,3,0.166667,12610.4,11062.0,5000.0,27327.2,8500.0,0.0,23663.6,3,15,0
2,GE,7,6,1,0.142857,32500.0,35000.0,15000.0,65250.0,15000.0,9000.0,62200.0,1,6,0
2,GR,2,1,1,0.5,50000.0,0.0,50000.0,50000.0,25000.0,5000.0,45000.0,1,1,0
2,HR,12,11,1,0.083333,20000.0,7500.0,10000.0,30000.0,20000.0,8047.0,29000.0,1,11,0
2,HU,2,2,0,0.0,12500.0,2500.0,10500.0,14500.0,12500.0,10500.0,14500.0,0,2,0
2,IT,1,1,0,0.0,40000.0,0.0,40000.0,40000.0,40000.0,40000.0,40000.0,0,1,0
2,LT,4,4,0,0.0,15000.0,13000.0,8600.0,27000.0,15000.0,8600.0,27000.0,0,4,0
2,LV,2,2,0,0.0,30000.0,20000.0,14000.0,46000.0,30000.0,14000.0,46000.0,0,2,0
2,MD,9,8,1,0.111111,16000.0,11750.0,10800.0,42500.0,12000.0,6400.0,40000.0,1,8,0
2,ME,1,1,0,0.0,12000.0,0.0,12000.0,12000.0,12000.0,12000.0,12000.0,0,1,0
2,MK,3,3,0,0.0,12000.0,3000.0,9600.0,14400.0,12000.0,9600.0,14400.0,0,3,0
2,MT,1,1,0,0.0,52000.0,0.0,52000.0,52000.0,52000.0,52000.0,52000.0,0,1,0
2,NL,3,3,0,0.0,20000.0,2500.0,20000.0,24000.0,20000.0,20000.0,24000.0,0,3,0
2,PL,8,8,0,0.0,20000.0,5000.0,17000.0,58000.0,20000.0,17000.0,58000.0,0,8,0
2,PT,4,4,0,0.0,24000.0,8750.0,13900.0,34800.0,24000.0,13900.0,34800.0,0,4,0
2,RO,24,20,4,0.166667,37500.0,187875.0,15000.0,526500.0,35000.0,0.0,460500.0,4,20,0
2,RS,3,3,0,0.0,12000.0,4000.0,5600.0,12000.0,12000.0,5600.0,12000.0,0,3,0
2,RU,293,291,2,0.006826,60000.0,65000.0,20000.0,280000.0,60000.0,20000.0,278000.0,2,291,0
2,SE,2,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
2,SI,3,3,0,0.0,7540.0,14230.0,7540.0,30308.0,7540.0,7540.0,30308.0,0,3,0
2,SK,4,4,0,0.0,25000.0,8750.0,14500.0,39000.0,25000.0,14500.0,39000.0,0,4,0
2,TR,116,107,9,0.077586,35000.0,45000.0,12900.0,133800.0,30250.0,10000.0,121500.0,9,107,0
2,UA,55,51,4,0.072727,8000.0,6000.0,6000.0,20000.0,8000.0,3000.0,20000.0,4,51,0
25,TR,3,3,0,0.0,47204.0,16401.0,27778.0,54019.6,47204.0,27778.0,54019.6,0,3,0
3,AL,6,5,1,0.166667,8000.0,7000.0,3800.0,14160.0,6500.0,1500.0,13800.0,1,5,0
3,AM,15,15,0,0.0,8000.0,11300.0,4200.0,40000.0,8000.0,4200.0,40000.0,0,15,0
3,AT,5,2,3,0.6,6500.0,3500.0,3700.0,9300.0,0.0,0.0,7200.0,3,2,0
3,AZ,23,21,2,0.086957,10000.0,5000.0,10000.0,20000.0,10000.0,5100.0,20000.0,2,21,0
3,BA,2,2,0,0.0,7500.0,4500.0,3900.0,11100.0,7500.0,3900.0,11100.0,0,2,0
3,BE,10,7,3,0.3,22750.0,16700.0,7392.0,43500.0,12500.0,0.0,35250.0,3,7,0
3,BG,57,52,5,0.087719,6500.0,9000.0,2000.0,26205.0,6000.0,650.0,22230.0,5,52,0
3,CH,3,1,2,0.666667,30000.0,0.0,30000.0,30000.0,0.0,0.0,24000.0,2,1,0
3,CY,11,8,3,0.272727,14440.5,14750.0,8950.0,31396.8,12000.0,0.0,30000.0,3,8,0
3,CZ,3,2,1,0.333333,12500.0,7500.0,6500.0,18500.0,5000.0,1000.0,17000.0,1,2,0
3,DE,5,3,2,0.4,10000.0,3000.0,5200.0,10000.0,4000.0,0.0,10000.0,2,3,0
3,EE,8,8,0,0.0,10000.0,14750.0,2400.0,48200.0,10000.0,2400.0,48200.0,0,8,0
3,ES,1,1,0,0.0,30000.0,0.0,30000.0,30000.0,30000.0,30000.0,30000.0,0,1,0
3,FI,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
3,FR,8,4,4,0.5,12500.0,5750.0,7900.0,15000.0,3500.0,0.0,15000.0,4,4,0
3,GB,17,5,12,0.705882,10000.0,11664.65,4774.14,84440.0,0.0,0.0,13640.0,12,5,0
3,GE,18,16,2,0.111111,5500.0,9000.0,3750.0,38750.0,5000.0,245.0,36650.0,2,16,0
3,GR,21,21,0,0.0,17000.0,10000.0,4000.0,77100.0,17000.0,4000.0,77100.0,0,21,0
3,HR,20,17,3,0.15,9000.0,7500.0,1600.0,18700.0,7000.0,0.0,17050.0,3,17,0
3,HU,36,34,2,0.055556,11000.0,91425.0,4790.0,153440.0,10000.0,3000.0,153400.0,2,34,0
3,IE,1,1,0,0.0,30000.0,0.0,30000.0,30000.0,30000.0,30000.0,30000.0,0,1,0
3,IT,12,9,3,0.25,30000.0,25000.0,11100.0,68000.0,22500.0,0.0,44500.0,3,9,0
3,LT,27,24,3,0.111111,9800.0,10750.0,3210.0,29200.0,8900.0,1033.308,27400.0,3,24,0
3,LV,23,23,0,0.0,5000.0,3500.0,4000.0,11360.0,5000.0,4000.0,11360.0,0,23,0
3,MD,95,92,3,0.031579,10000.0,9625.0,3550.0,25000.0,10000.0,3000.0,25000.0,3,92,0
3,ME,4,3,1,0.25,7500.0,2850.0,3900.0,8460.0,5250.0,900.0,8340.0,1,3,0
3,MK,11,11,0,0.0,9000.0,10000.0,3000.0,20000.0,9000.0,3000.0,20000.0,0,11,0
3,MT,4,4,0,0.0,18000.0,15250.0,7100.0,28200.0,18000.0,7100.0,28200.0,0,4,0
3,NL,8,4,4,0.5,4000.0,3886.555,1217.646,8500.0,226.89,0.0,6500.0,4,4,0
3,PL,52,50,2,0.038462,7500.0,6225.0,3000.0,20500.0,6500.0,3000.0,19800.0,2,50,0
3,RO,128,113,15,0.117188,8400.0,7750.0,3000.0,23800.0,7500.0,0.0,22650.0,15,113,0
3,RS,7,7,0,0.0,12000.0,9500.0,3800.0,22000.0,12000.0,3800.0,22000.0,0,7,0
3,RU,744,645,99,0.133065,20000.0,40000.0,5000.0,90720.0,15000.0,0.0,76890.0,99,645,0
3,SE,9,0,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0
3,SI,25,25,0,0.0,7000.0,7500.0,1240.0,14112.92,7000.0,1240.0,14112.92,0,25,0
3,SK,6,6,0,0.0,20000.0,19750.0,4750.0,43000.0,20000.0,4750.0,43000.0,0,6,0
3,TR,178,154,24,0.134831,14500.0,20000.0,5000.0,61400.0,11850.0,0.0,57006.45,24,154,0
3,UA,198,172,26,0.131313,10000.0,6625.0,4000.0,20000.0,8000.0,0.0,20000.0,26,170,2
34,AL,2,1,1,0.5,8000.0,0.0,8000.0,8000.0,4000.0,800.0,7200.0,1,1,0
34,AZ,11,11,0,0.0,14000.0,14250.0,10000.0,40000.0,14000.0,10000.0,40000.0,0,11,0
34,BE,1,1,0,0.0,60000.0,0.0,60000.0,60000.0,60000.0,60000.0,60000.0,0,1,0
34,ES,2,1,1,0.5,5000.0,0.0,5000.0,5000.0,2500.0,500.0,4500.0,1,1,0
34,GB,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
34,GE,1,1,0,0.0,15000.0,0.0,15000.0,15000.0,15000.0,15000.0,15000.0,0,1,0
34,LV,2,2,0,0.0,2500.0,1500.0,1300.0,3700.0,2500.0,1300.0,3700.0,0,2,0
34,MD,5,5,0,0.0,15000.0,1000.0,12800.0,438000.0,15000.0,12800.0,438000.0,0,5,0
34,MT,1,1,0,0.0,3000.0,0.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,1,0
34,PL,2,2,0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,500.0,0,2,0
34,RO,2,1,1,0.5,24000.0,0.0,24000.0,24000.0,12000.0,2400.0,21600.0,1,1,0
34,RU,43,35,8,0.186047,10000.0,16000.0,1860.0,30000.0,7500.0,0.0,29400.0,8,35,0
34,SK,1,1,0,0.0,15000.0,0.0,15000.0,15000.0,15000.0,15000.0,15000.0,0,1,0
34,TR,4,2,2,0.5,16750.0,5750.0,12150.0,21350.0,5500.0,0.0,19050.0,2,2,0
34,UA,28,19,9,0.321429,7000.0,8250.0,2300.0,56000.0,3500.0,0.0,26300.0,9,19,0
38,BG,2,2,0,0.0,51000.0,24000.0,31800.0,70200.0,51000.0,31800.0,70200.0,0,2,0
38,GE,1,1,0,0.0,50000.0,0.0,50000.0,50000.0,50000.0,50000.0,50000.0,0,1,0
38,PL,2,2,0,0.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,0,2,0
38,RU,21,19,2,0.095238,35000.0,42500.0,7800.0,104000.0,35000.0,4000.0,90000.0,2,19,0
38,TR,10,10,0,0.0,29000.0,52750.0,13150.0,273000.0,29000.0,13150.0,273000.0,0,10,0
38,UA,1,1,0,0.0,55000.0,0.0,55000.0,55000.0,55000.0,55000.0,55000.0,0,1,0
4,CY,1,1,0,0.0,42000.0,0.0,42000.0,42000.0,42000.0,42000.0,42000.0,0,1,0
4,DE,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
4,FR,2,1,1,0.5,30000.0,0.0,30000.0,30000.0,15000.0,3000.0,27000.0,1,1,0
4,GB,1,1,0,0.0,8000.0,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,0,1,0
4,HR,1,1,0,0.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0,0,1,0
46,CH,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
5,AL,2,2,0,0.0,11800.0,3800.0,8760.0,14840.0,11800.0,8760.0,14840.0,0,2,0
5,AM,19,19,0,0.0,6000.0,6000.0,2800.0,22480.0,6000.0,2800.0,22480.0,0,19,0
5,AT,6,4,2,0.333333,3000.0,0.0,3000.0,3000.0,3000.0,0.0,3000.0,2,4,0
5,AZ,40,38,2,0.05,15000.0,8000.0,4700.0,36000.0,15000.0,3900.0,36000.0,2,38,0
